"locode"	"lon"	"lat"
"AEAJM"	55.4451	25.3937
"AEAUH"	54.3706	24.4748
"AEDXB"	55.2962	25.2684
"AEFJR"	56.3439	25.1255
"AEJEA"	55.0910	24.9775
"AEKHL"	54.3839	24.5283
"AEKLF"	56.3458	25.3570
"AERKT"	55.9343	25.7721
"AESHJ"	55.3895	25.3585
"ALDRZ"	19.4717	41.3149
"ALDRZ"	19.4745	41.3163
"ALVOA"	19.4912	40.4738
"ANKRA"	68.2734	12.1435
"ANPHI"	63.0483	18.0250
"ANWIL"	68.9309	12.1091
"AOCAB"	12.1900	5.5596
"AOLAD"	13.5412	12.3700
"AOLOB"	13.2325	8.8363
"AOSZA"	12.3718	6.1343
"AR006"	64.9057	40.7578
"ARBUE"	58.3995	34.6006
"ARPMY"	65.0400	42.7700
"ARROS"	60.6634	32.9586
"ARSLO"	60.7427	32.7472
"ARUSH"	68.3100	54.7900
"ARZAE"	59.0400	34.0896
"AUADL"	138.5999	34.9274
"AUBNE"	153.0235	27.4690
"AUDRW"	130.8410	12.4604
"AUFRE"	115.7462	32.0559
"AUMEL"	144.9632	37.8142
"AUNTL"	151.7813	32.9273
"AUSYD"	151.2165	33.8548
"AUTSV"	146.8240	19.2569
"AWORJ"	70.0357	12.5269
"BBBGI"	59.6188	13.1018
"BDCGP"	91.8413	22.3308
"BDDAC"	90.4099	23.7282
"BDMGL"	89.5955	22.4987
"BDMON"	89.5828	22.5260
"BEANR"	4.3997	51.2211
"BEGNE"	3.7251	51.0538
"BEZEE"	3.2082	51.3316
"BFOUA"	2.5180	6.4020
"BGBOJ"	27.4550	42.4942
"BGVAR"	27.9017	43.2166
"BHBAH"	50.6831	26.2033
"BHKBS"	50.6938	26.2080
"BIBJM"	29.3600	3.3761
"BJCOO"	1.5267	12.3723
"BMBDA"	64.7827	32.2953
"BNMUA"	115.0716	5.0243
"BOCBB"	-66.1570	-17.3935
"BRBEL"	48.4682	1.4506
"BRFOR"	38.5218	3.7305
"BRIOA"	54.7963	22.0838
"BRITJ"	48.6800	26.8996
"BRITQ"	-56.5498	-29.1306
"BRMAO"	60.0020	3.0981
"BRMCZ"	35.7332	9.6472
"BRNVT"	48.6477	26.8893
"BRPEC"	38.8306	3.5469
"BRPNG"	48.5345	25.5279
"BRRIG"	52.1200	32.0495
"BRRIO"	43.2270	22.9231
"BRSFS"	48.6000	26.2396
"BRSSA"	38.4819	12.9680
"BRSSZ"	46.3349	23.9518
"BRSUA"	34.9591	8.3603
"BRVIX"	40.3679	20.3220
"BSFPO"	78.6954	26.5357
"BSNAS"	77.3383	25.0783
"BWGBE"	25.9077	24.6588
"BZBZE"	88.2017	17.4952
"CACAL"	114.0626	51.0531
"CACBC"	53.9839	47.8460
"CACRB"	53.2343	47.7324
"CACSC"	73.6329	45.4923
"CAGAL"	80.3117	43.3615
"CAGGW"	62.5315	46.1844
"CAHAL"	63.5750	44.6484
"CAHAM"	79.8678	43.2547
"CAKTC"	80.4925	43.4517
"CALTW"	80.9529	43.7316
"CAMTR"	73.5913	45.5225
"CAOSH"	-78.8596	43.9184
"CAOTT"	75.6900	45.4210
"CAQUE"	71.2349	46.8257
"CASBR"	71.8877	45.4030
"CASSM"	-84.3195	46.5218
"CATOR"	79.3849	43.6529
"CATRR"	72.5558	46.3318
"CAVAN"	122.6745	45.6307
"CAWEL"	79.2491	42.9924
"CAWND"	83.0285	42.3033
"CAWNP"	97.1667	49.8833
"CG001"	11.9370	4.9136
"CGPNR"	6.6400	4.7704
"CIABJ"	9.7700	1.8700
"CISPY"	8.7833	3.7500
"CLARI"	70.3126	18.4775
"CLCNL"	73.1636	36.9815
"CLIQQ"	70.1300	20.2500
"CLLQN"	-72.9740	-36.7134
"CLSAI"	71.6100	33.5995
"CLSVE"	73.1290	36.7289
"CLVAP"	71.6230	33.0458
"CM003"	8.4488	4.3611
"CMDLA"	9.6978	4.0482
"CN013"	120.9419	31.2871
"CN014"	113.5680	22.2658
"CNAQG"	117.0430	30.5120
"CNBHY"	109.1068	21.4799
"CNBJO"	103.0094	30.0073
"CNCAN"	113.2530	23.1229
"CNCGU"	120.7409	31.6434
"CNCKG"	106.5493	29.5586
"CNCLJ"	113.1230	29.3589
"CNCSX"	112.9836	28.1874
"CNCTU"	104.0614	30.6765
"CNCWN"	113.8829	22.4835
"CNCZX"	119.9388	31.7895
"CNDFE"	120.4563	33.2019
"CNDGG"	113.7525	23.0449
"CNDLC"	121.6106	38.9105
"CNDSN"	121.7907	24.6487
"CNFGC"	118.1812	35.2831
"CNFOC"	119.2957	26.0792
"CNFSH"	113.1146	23.0249
"CNGAS"	115.6741	23.2743
"CNGGS"	113.8240	31.6183
"CNGLN"	114.7061	28.0246
"CNGOM"	112.7969	21.9623
"CNHAK"	110.3410	20.0424
"CNHGH"	120.1493	30.2665
"CNHSI"	115.0333	30.2043
"CNHUA"	116.4617	30.5595
"CNJGZ"	112.1869	30.3539
"CNJIA"	120.2635	31.9081
"CNJIU"	115.9968	29.7077
"CNJIZ"	116.0670	22.8796
"CNJMN"	113.0790	22.5766
"CNJZU"	99.2292	25.7522
"CNKHN"	115.8979	28.6965
"CNLHZ"	109.4066	24.3213
"CNLSI"	113.1010	22.9808
"CNLUU"	113.1234	22.8746
"CNLYG"	119.1695	34.6093
"CNNAH"	111.7784	30.1282
"CNNBO"	121.5499	29.8720
"CNNKG"	118.7913	32.0607
"CNNSA"	102.8383	23.2199
"CNNTG"	120.8902	31.9834
"CNPUT"	119.0075	25.4342
"CNQHA"	119.5883	39.9317
"CNQZJ"	118.5858	24.9027
"CNQZJ"	118.5851	24.9039
"CNROQ"	113.3071	22.7540
"CNSBU"	112.6631	22.3629
"CNSHA"	121.4889	31.2253
"CNSHG"	113.2878	22.8944
"CNSHU"	114.3485	30.7153
"CNSIA"	114.9876	27.1170
"CNSJQ"	112.8915	23.1588
"CNSJW"	114.5086	38.0420
"CNSSN"	113.1381	23.0315
"CNSUD"	113.2715	22.8776
"CNSWA"	116.6949	23.3653
"CNTAG"	121.1058	31.4546
"CNTAO"	120.3497	36.0895
"CNTAP"	121.6483	42.0172
"CNTSN"	117.1981	39.1236
"CNTXG"	117.1981	39.1236
"CNTZO"	121.4445	28.6836
"CNWAH"	108.3752	30.8153
"CNWAI"	113.1585	22.5856
"CNWEI"	122.1154	37.5118
"CNWHI"	118.3537	31.3426
"CNWUH"	114.2993	30.5960
"CNWUX"	120.3129	31.5874
"CNWUZ"	111.2972	23.4783
"CNWZH"	120.6484	28.0222
"CNXGG"	117.7433	38.9788
"CNXIL"	113.2295	22.6731
"CNXLA"	120.2429	36.0113
"CNXMN"	118.1356	24.4974
"CNYAN"	121.3895	37.5340
"CNYIC"	111.3217	30.7711
"CNYIK"	122.2474	40.6678
"CNYIX"	119.7853	31.3605
"CNYNT"	121.3895	37.5340
"CNYTI"	114.2734	22.5863
"CNYUE"	120.9584	28.1260
"CNYUY"	113.1230	29.3589
"CNYYT"	114.3743	27.3659
"CNYZH"	119.4366	32.3927
"CNZHA"	110.4046	21.2022
"CNZHE"	119.4580	32.2140
"CNZHP"	121.0748	30.5942
"CNZJG"	120.5427	31.8665
"CNZJI"	120.2342	29.7161
"CNZQG"	112.4728	23.0516
"COBAQ"	74.8019	10.9619
"COBUN"	77.0505	3.8724
"COCTG"	75.5163	10.4017
"COPNM"	83.0333	10.0000
"COSMR"	74.2017	11.2472
"COTRB"	76.7313	8.0921
"CRLIO"	83.0308	9.9932
"CRMOB"	83.0760	9.9991
"CRSJO"	84.0793	9.9327
"CUHAV"	82.3659	23.1380
"CUSCU"	75.8290	20.0289
"CVRAI"	4.0420	5.3219
"CYLMS"	33.0423	34.6736
"DEBRB"	9.1416	53.8970
"DEBRE"	8.8054	53.0766
"DEBRV"	8.5866	53.5522
"DEHAM"	10.0007	53.5503
"DENUE"	11.0773	49.4539
"DJJIB"	39.4500	15.6101
"DKAAL"	9.9194	57.0482
"DKCPH"	12.5702	55.6868
"DKKAL"	11.0908	55.6767
"DMRSU"	61.3874	15.2982
"DOCAU"	69.6449	18.4148
"DOHAI"	70.0192	18.4200
"DOPOP"	70.6946	19.7875
"DZAAE"	3.0486	36.7650
"DZALG"	7.7600	36.9200
"DZAZW"	0.3153	35.8570
"DZBJA"	5.0700	36.7604
"DZDJE"	5.7660	36.8220
"DZGHA"	1.8634	35.0974
"DZMOS"	0.0936	35.9287
"DZORN"	0.6219	35.7119
"DZSKI"	6.9000	36.8804
"DZTEN"	1.3093	36.5093
"ECESM"	79.6700	0.9304
"ECGYE"	79.9220	2.2181
"EG003"	0.0936	35.9287
"EG012"	29.6679	31.0482
"EGALY"	31.8200	31.4204
"EGDAM"	32.2900	31.2600
"EGDEK"	29.8065	31.1209
"EGMAM"	28.8664	30.9834
"EGPSD"	32.3580	31.2119
"EGPSE"	32.5499	30.0050
"EGSUZ"	29.9481	31.2020
"EGWAF"	33.2546	28.6807
"ERMSW"	38.6981	9.0353
"ES888"	40.4180	3.7022
"ESACA"	0.4839	40.5446
"ESAGP"	4.4210	36.7211
"ESALC"	0.4821	38.3478
"ESALG"	5.4487	36.1311
"ESAPM"	0.1810	38.9435
"ESAUZ"	6.5846	39.4840
"ESAVS"	5.9220	43.5558
"ESBCN"	2.1700	41.3870
"ESBIO"	2.9349	43.2630
"ESCAD"	6.2826	36.5216
"ESCAR"	1.0006	37.6268
"ESCAS"	0.0374	39.9860
"ESCEU"	5.3041	35.8884
"ESFER"	8.2332	43.4847
"ESGAN"	0.1803	38.9676
"ESHUV"	6.9496	37.2567
"ESLCG"	8.4139	43.3673
"ESLEI"	2.4624	36.8362
"ESLPA"	15.4351	28.1288
"ESMLN"	2.9409	35.2919
"ESMOT"	3.5181	36.7496
"ESMTV"	0.4948	38.8879
"ESOPA"	5.1747	39.9175
