ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ALB	Albania	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0170150039	0.0170150039
DZA	Algeria	0.0000122881	0.0000025733	0.0000386281	0.0000777767	0.0002116163	0.0007249025	0.0000887288	0.0000000000	0.0158582398	0.0166718711
AGO	Angola	0.0000000000	0.0000000765	0.0000000000	0.0000000000	0.0000001530	0.0000022100	0.0000000000	0.0000000000	0.0288498129	0.0288520229
ARG	Argentina	0.0000227607	0.0000279127	0.0000066516	0.0000066758	0.0000985894	0.0012985221	0.0003450628	0.0000000000	0.0013540558	0.0029976407
AUS	Australia	0.0000088307	0.0000105504	0.0000000000	0.0000000000	0.0000299316	0.0005008112	0.0000000000	0.0000000000	0.0000000000	0.0005008112
BHS	Bahamas	0.0000066271	0.0000231949	0.0000000000	0.0000000000	0.0000530170	0.0006397826	0.0000000000	0.0000000000	0.0000000000	0.0006397826
BGD	Bangladesh	0.0000024148	0.0000030490	0.0000000000	0.0000000000	0.0000085128	0.0000698892	0.0000000000	0.0000000000	0.0000000000	0.0000698892
BEL	Belgium	0.0000011535	0.0000027877	0.0000022109	0.0000127848	0.0000345093	0.0001283361	0.0000024993	0.0000000000	0.0000000000	0.0001308353
BEN	Benin	0.0000140238	0.0000004417	0.0000077297	0.0000000000	0.0000226369	0.0004297897	0.0000000000	0.0000000000	0.0000000000	0.0004297897
BRA	Brazil	0.0000308051	0.0000133315	0.0000026106	0.0000067378	0.0000735542	0.0010517788	0.0000054599	0.0000000000	0.0000000000	0.0010572386
BGR	Bulgaria	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0016300672	0.0004344794	0.0020645466
KHM	Cambodia	0.0000002076	0.0000000000	0.0000000000	0.0000000000	0.0000002076	0.0000024983	0.0000000000	0.0000000000	0.0000000000	0.0000024983
CMR	Cameroon	0.0000170518	0.0000022287	0.0000287652	0.0000022805	0.0000548353	0.0005754522	0.0000948225	0.0000000000	0.0184378176	0.0191080923
