ISO_A3	Nation	"Containers full 20'"	"Containers	full	40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ALB	Albania	0.0000194178	0.0000020087	0.0000000000	0.0000000000	0.0000234353	0.0004936604	0.0000000000	0.0000000000	0.0000000000	0.0004936604
DZA	Algeria	0.0000669632	0.0000965414	0.0000000000	0.0000000000	0.0002600460	0.0027697164	0.0002232232	0.0000000000	0.0000438614	0.0030368011
ASM	"American Samoa"	0.0000172768	0.0001209378	0.0000000000	0.0000000000	0.0002591524	0.0031393722	0.0000000000	0.0000000000	0.0000000000	0.0031393722
AGO	Angola	0.0000114783	0.0000098713	0.0000000000	0.0000000000	0.0000312209	0.0004215459	0.0000000000	0.0000000000	0.0000000000	0.0004215459
ARG	Argentina	0.0000778846	0.0000852377	0.0000001935	0.0000209708	0.0002904952	0.0032160725	0.0000000000	0.0000000000	0.0000000000	0.0032160725
ABW	Aruba	0.0004611128	0.0000419193	0.0000000000	0.0000000000	0.0005449515	0.0110252075	0.0000000000	0.0000000000	0.0000000000	0.0110252075
AUS	Australia	0.0002463311	0.0002250909	0.0000001394	0.0000000000	0.0006966523	0.0088846526	0.0000000000	0.0000000000	0.0000000000	0.0088846526
BHS	Bahamas	0.0000033136	0.0000033136	0.0000000000	0.0000000000	0.0000099407	0.0001020577	0.0000000000	0.0000000000	0.0000000000	0.0001020577
BHR	Bahrain	0.0004810272	0.0004986423	0.0000013550	0.0000013550	0.0014823768	0.0179118812	0.0000000000	0.0000000000	0.0000000000	0.0179118812
BGD	Bangladesh	0.0000023380	0.0000015629	0.0000000000	0.0000000192	0.0000055022	0.0000777177	0.0000030810	0.0000000000	0.0000000000	0.0000807987
BRB	Barbados	0.0001120240	0.0000350075	0.0000000000	0.0000000000	0.0001820390	0.0027150074	0.0000000000	0.0000000000	0.0000000000	0.0027150074
BEL	Belgium	0.0000014419	0.0000001923	0.0000000000	0.0000000000	0.0000018264	0.0000349947	0.0000112468	0.0070641161	0.0009937518	0.0081041094
BLZ	Belize	0.0000063589	0.0000095383	0.0000000000	0.0000000000	0.0000254354	0.0002658955	0.0000000000	0.0000000000	0.0000000000	0.0002658955
BEN	Benin	0.0000265017	0.0000194346	0.0000000000	0.0000000000	0.0000653710	0.0010229019	0.0001827825	0.0000000000	0.0000000000	0.0012056844
BMU	Bermuda	0.0003671690	0.0002906754	0.0000000000	0.0000000000	0.0009485199	0.0137345674	0.0000000000	0.0000000000	0.0000000000	0.0137345674
BOL	Bolivia	0.0000000000	0.0000001005	0.0000000000	0.0000000000	0.0000002011	0.0000022539	0.0000000000	0.0000000000	0.0000000000	0.0000022539
BWA	Botswana	0.0000004928	0.0000004928	0.0000000000	0.0000000000	0.0000014783	0.0000187601	0.0000000000	0.0000000000	0.0000000000	0.0000187601
BRA	Brazil	0.0000451808	0.0000511777	0.0000040974	0.0000134409	0.0001785152	0.0018749895	0.0000219472	0.0000000000	0.0000000000	0.0018969367
BRN	Brunei	0.0000607553	0.0000202518	0.0000000000	0.0000000000	0.0001012589	0.0014325603	0.0000000000	0.0000000000	0.0000000000	0.0014325603
BGR	Bulgaria	0.0000069942	0.0000016786	0.0000000000	0.0000000000	0.0000103514	0.0002211005	0.0000000000	0.0000000000	0.0000000000	0.0002211005
BFA	"Burkina Faso"	0.0000002463	0.0000003078	0.0000000000	0.0000000000	0.0000008620	0.0000102538	0.0000000000	0.0000000000	0.0000000000	0.0000102538
KHM	Cambodia	0.0000009686	0.0000035977	0.0000000000	0.0000000000	0.0000081640	0.0000671504	0.0000000000	0.0000000000	0.0000000000	0.0000671504
CMR	Cameroon	0.0000306829	0.0000183994	0.0000015549	0.0000013994	0.0000718352	0.0010415878	0.0000112874	0.0000000000	0.0000000000	0.0010528751
CAN	Canada	0.0001171650	0.0002949019	0.0000010095	0.0000010689	0.0007101161	0.0079646462	0.0000000000	0.0000000000	0.0000000000	0.0079646462
CPV	"Cape Verde"	0.0000176936	0.0000196595	0.0000000000	0.0000000000	0.0000570127	0.0005814898	0.0000000000	0.0000000000	0.0000000000	0.0005814898
CYM	"Cayman Islands"	0.0007454258	0.0001129433	0.0000000000	0.0000000000	0.0009713124	0.0178425570	0.0000000000	0.0000000000	0.0000000000	0.0178425570
CHL	Chile	0.0000271699	0.0000258562	0.0000000000	0.0000000000	0.0000788822	0.0010203761	0.0000312633	0.0000000000	0.0000000000	0.0010516394
CHN	China	0.0000132672	0.0000292231	0.0000128740	0.0000101681	0.0001049236	0.0009793247	0.0000030050	0.0000000000	0.0000000000	0.0009823297
COL	Colombia	0.0000248613	0.0000359459	0.0000000000	0.0000000905	0.0000969341	0.0011810633	0.0001451751	0.0000000000	0.0000000000	0.0013262385
COG	Congo	0.0000973964	0.0001533336	0.0000000000	0.0000003290	0.0004047216	0.0049078880	0.0000000000	0.0000000000	0.0000000000	0.0049078880
CRI	"Costa Rica"	0.0000097427	0.0000338779	0.0000000000	0.0000000000	0.0000774984	0.0008155515	0.0000000000	0.0000000000	0.0000000000	0.0008155515
HRV	Croatia	0.0000000000	0.0000024493	0.0000000000	0.0000000000	0.0000048987	0.0000594211	0.0000253841	0.0000000000	0.0000000000	0.0000848052
CUB	Cuba	0.0000229362	0.0000274009	0.0000000000	0.0000000000	0.0000777379	0.0009892244	0.0000000000	0.0000000000	0.0000000000	0.0009892244
CYP	Cyprus	0.0004552557	0.0002575550	0.0000000000	0.0000027207	0.0009758071	0.0120622630	0.0000000000	0.0000000000	0.0000000000	0.0120622630
DNK	Denmark	0.0000000000	0.0000001823	0.0000000000	0.0000000000	0.0000003647	0.0000043764	0.0001503100	0.0014620715	0.0007731583	0.0023899161
DJI	Djibouti	0.0010857118	0.0009601257	0.0000094527	0.0000000000	0.0030154160	0.0315694612	0.0105082860	0.0000000000	0.0000000000	0.0420777472
DMA	Dominica	0.0000137338	0.0000000000	0.0000000000	0.0000000000	0.0000137338	0.0003296115	0.0000000000	0.0000000000	0.0000000000	0.0003296115
DOM	"Dominican Republic"	0.0000281968	0.0000472321	0.0000000000	0.0000003054	0.0001232718	0.0014262159	0.0000148618	0.0000000000	0.0000000000	0.0014410778
ECU	Ecuador	0.0000103444	0.0000121023	0.0000000000	0.0000000000	0.0000345490	0.0003477545	0.0000000000	0.0000000000	0.0000000000	0.0003477545
EGY	Egypt	0.0000935731	0.0001208497	0.0000138806	0.0000030694	0.0003552919	0.0041789039	0.0001489274	0.0000000000	0.0005107748	0.0048386061
SLV	"El Salvador"	0.0000033047	0.0000052875	0.0000000000	0.0000000000	0.0000138796	0.0001565383	0.0000000000	0.0000000000	0.0000000000	0.0001565383
GNQ	"Equatorial Guinea"	0.0000561577	0.0000433498	0.0000000000	0.0000000000	0.0001428573	0.0017817653	0.0000527094	0.0000000000	0.0000000000	0.0018344747
ERI	Eritrea	0.0005725892	0.0004146395	0.0002105996	0.0000617989	0.0017360656	0.0193972433	0.0000062627	0.0000000000	0.0000000000	0.0194035060
EST	Estonia	0.0000185878	0.0000023235	0.0000000000	0.0000000000	0.0000232347	0.0004836156	0.0000000000	0.0000000000	0.0000000000	0.0004836156
FJI	Fiji	0.0000011416	0.0000114157	0.0000000000	0.0000000000	0.0000239731	0.0003487967	0.0000000000	0.0000000000	0.0000000000	0.0003487967
FIN	Finland	0.0000019069	0.0000055301	0.0000000000	0.0000000000	0.0000129672	0.0001887185	0.0001318135	0.0000000000	0.0000000000	0.0003205320
FRA	France	0.0000540696	0.0000670080	0.0000203031	0.0000171997	0.0002427882	0.0024147449	0.0005538050	0.0004771309	0.0003538918	0.0037995727
PYF	"French Polynesia"	0.0004695270	0.0002366120	0.0000000000	0.0000000000	0.0009427510	0.0155647078	0.0000000000	0.0000000000	0.0000000000	0.0155647078
GAB	Gabon	0.0001701984	0.0001074256	0.0000000000	0.0000000000	0.0003850497	0.0064344396	0.0000000000	0.0000000000	0.0000000000	0.0064344396
GMB	Gambia	0.0000043935	0.0000357758	0.0000000000	0.0000000000	0.0000759451	0.0008489973	0.0000000000	0.0000000000	0.0000000000	0.0008489973
GEO	Georgia	0.0000619870	0.0001019438	0.0000000000	0.0000000000	0.0002658747	0.0033391123	0.0001183197	0.0000000000	0.0000000000	0.0034574320
DEU	Germany	0.0000027628	0.0000014914	0.0000000000	0.0000000000	0.0000057456	0.0001058565	0.0000005379	0.0000000000	0.0000000000	0.0001063944
GHA	Ghana	0.0001001650	0.0001490971	0.0000032046	0.0000032457	0.0004080553	0.0051091002	0.0001644276	0.0000000000	0.0000000000	0.0052735277
GBR	"Great Britain"	0.0000010906	0.0000025181	0.0000000000	0.0000000000	0.0000061269	0.0000918130	0.0000000000	0.0000000000	0.0000000000	0.0000918130
GRC	Greece	0.0000466364	0.0000188182	0.0000000000	0.0000002727	0.0000848182	0.0015068955	0.0000601818	0.0001128182	0.0000000000	0.0016798955
GRD	Grenada	0.0000000000	0.0000092749	0.0000000000	0.0000000000	0.0000185498	0.0000899664	0.0000000000	0.0000000000	0.0000000000	0.0000899664
GLP	Guadaloupe	0.0008600451	0.0008419865	0.0000000000	0.0000000000	0.0025440181	0.0332664560	0.0000000000	0.0000000000	0.0000000000	0.0332664560
GUM	Guam	0.0000753021	0.0000125504	0.0000000000	0.0000000000	0.0001004029	0.0010477039	0.0000000000	0.0000000000	0.0000000000	0.0010477039
GTM	Guatemala	0.0000092986	0.0000083392	0.0000000000	0.0000000000	0.0000259770	0.0003429874	0.0005245077	0.0000000000	0.0000000000	0.0008674951
GIN	Guinea	0.0000172413	0.0000148198	0.0000000000	0.0000000000	0.0000468809	0.0006931444	0.0002470442	0.0000000000	0.0000000000	0.0009401885
GUY	Guyana	0.0000040081	0.0000106882	0.0000000000	0.0000000000	0.0000253846	0.0002855230	0.0000000000	0.0000000000	0.0000000000	0.0002855230
HTI	Haiti	0.0000215568	0.0000086020	0.0000000000	0.0000000000	0.0000387608	0.0004797405	0.0001451727	0.0000000000	0.0000000000	0.0006249132
HND	Honduras	0.0000008762	0.0000097629	0.0000000000	0.0000000000	0.0000204020	0.0001851375	0.0000000000	0.0000000000	0.0000000000	0.0001851375
ISL	Iceland	0.0000032372	0.0000032372	0.0000000000	0.0000000000	0.0000097116	0.0001683986	0.0000000000	0.0000000000	0.0000000000	0.0001683986
IND	India	0.0000062467	0.0000066021	0.0000004833	0.0000002054	0.0000203451	0.0002555096	0.0000097578	0.0000000000	0.0000000000	0.0002652674
IDN	Indonesia	0.0000056509	0.0000074619	0.0000000041	0.0000000000	0.0000205788	0.0003094618	0.0000014076	0.0000000000	0.0000000000	0.0003108694
IRN	Iran	0.0000178749	0.0000339949	0.0000108160	0.0000024570	0.0001015947	0.0009588828	0.0000155187	0.0000000000	0.0000000000	0.0009744015
IRQ	Iraq	0.0000015166	0.0000040443	0.0000000000	0.0000000000	0.0000096051	0.0000961765	0.0000119306	0.0000000000	0.0000000000	0.0001081071
IRL	Ireland	0.0000004326	0.0000004326	0.0000000000	0.0000000000	0.0000012979	0.0000159683	0.0000000000	0.0000000000	0.0003262010	0.0003421692
ISR	Israel	0.0006852067	0.0007462621	0.0000227088	0.0000055752	0.0022115900	0.0306047238	0.0000000000	0.0001135439	0.0000000000	0.0307182677
ITA	Italy	0.0002594616	0.0000702515	0.0001351335	0.0000357141	0.0006065264	0.0059629835	0.0475099141	0.0008387923	0.0120593478	0.0663710376
CIV	"Ivory Coast"	0.0000855699	0.0000528045	0.0000004749	0.0000006648	0.0001929835	0.0029269624	0.0001155560	0.0000000000	0.0000000000	0.0030425184
JAM	Jamaica	0.0000723510	0.0001601555	0.0000056195	0.0000000000	0.0003982816	0.0049417856	0.0000000000	0.0000000000	0.0000000000	0.0049417856
JPN	Japan	0.0000434526	0.0000474672	0.0000004242	0.0000024511	0.0001437135	0.0016289243	0.0000000000	0.0000000000	0.0000000000	0.0016289243
JOR	Jordan	0.0000913052	0.0001042596	0.0000000000	0.0000068674	0.0003135591	0.0034197190	0.0002917161	0.0000000000	0.0052228119	0.0089342470
KEN	Kenya	0.0000163560	0.0000046945	0.0000000499	0.0000000000	0.0000257950	0.0003433833	0.0001315261	0.0000000000	0.0000000000	0.0004749094
KWT	Kuwait	0.0004474510	0.0007249567	0.0000114731	0.0000017927	0.0019124229	0.0214220553	0.0001050506	0.0000000000	0.0000000000	0.0215271059
LVA	Latvija	0.0000036069	0.0000094681	0.0000000000	0.0000000000	0.0000225431	0.0002311304	0.0000000000	0.0000000000	0.0000000000	0.0002311304
LBN	Lebanon	0.0005269987	0.0003110117	0.0000000000	0.0000012120	0.0011514462	0.0150151082	0.0009346592	0.0000000000	0.0000000000	0.0159497674
LBR	Liberia	0.0000070555	0.0000105832	0.0000000000	0.0000000000	0.0000282219	0.0004028167	0.0000000000	0.0000000000	0.0000000000	0.0004028167
LBY	Libya	0.0001923716	0.0001530615	0.0000000000	0.0000007738	0.0005000423	0.0067420986	0.0036243623	0.0000000000	0.0000000000	0.0103664609
MDG	Madagascar	0.0000025844	0.0000016916	0.0000000000	0.0000000000	0.0000059675	0.0000749371	0.0000000000	0.0000000000	0.0000000000	0.0000749371
MYS	Malaysia	0.0001272514	0.0001470571	0.0000290719	0.0000053758	0.0004611892	0.0059357474	0.0000000000	0.0000000000	0.0000000000	0.0059357474
MLI	Mali	0.0000000000	0.0000000725	0.0000000000	0.0000000000	0.0000001450	0.0000009416	0.0000000000	0.0000000000	0.0000000000	0.0000009416
MLT	Malta	0.0026848635	0.0019205955	0.0008263027	0.0008982630	0.0091488834	0.1026407196	0.0494124069	0.0000000000	0.5075756824	0.6596288089
MTQ	Martinique	0.0005405405	0.0007253407	0.0000000000	0.0000069300	0.0020050820	0.0266286671	0.0000000000	0.0000000000	0.0000000000	0.0266286671
