ISO_A3	Nation	"Containers full 20'"	"Containers	full	40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ALB	Albania	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0092746720	0.0092746720
DZA	Algeria	0.0000070548	0.0000009252	0.0000799163	0.0001350250	0.0003588716	0.0008913710	0.0002631322	0.0000000000	0.0068439756	0.0079984788
AGO	Angola	0.0000000765	0.0000000000	0.0000000000	0.0000000000	0.0000000765	0.0000015304	0.0000000000	0.0000000000	0.0000000000	0.0000015304
ARG	Argentina	0.0000356286	0.0000348062	0.0000103766	0.0000130614	0.0001417404	0.0018215897	0.0000000000	0.0000000000	0.0008224327	0.0026440224
AUS	Australia	0.0000190093	0.0000082730	0.0000108293	0.0000214262	0.0000892369	0.0006459504	0.0000412256	0.0000000000	0.0000000000	0.0006871760
BHS	Bahamas	0.0000331356	0.0001126611	0.0001325425	0.0000231949	0.0004373902	0.0031079890	0.0000000000	0.0000000000	0.0000000000	0.0031079890
BHR	Bahrain	0.0000000000	0.0000013550	0.0000000000	0.0000000000	0.0000027100	0.0000082655	0.0000000000	0.0000000000	0.0000000000	0.0000082655
BGD	Bangladesh	0.0000004740	0.0000007110	0.0000000000	0.0000000000	0.0000018960	0.0000142357	0.0000000000	0.0000000000	0.0000000000	0.0000142357
BEL	Belgium	0.0000004806	0.0000000000	0.0000048063	0.0000037489	0.0000127848	0.0000265308	0.0000027877	0.0000000000	0.0000000000	0.0000293185
BEN	Benin	0.0000007730	0.0000000000	0.0000005521	0.0000003313	0.0000019876	0.0000146157	0.0000000000	0.0000000000	0.0000000000	0.0000146157
BRA	Brazil	0.0000581542	0.0000341218	0.0000127944	0.0000369760	0.0002131442	0.0024505863	0.0000001144	0.0000000000	0.0000000000	0.0024507006
BGR	Bulgaria	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0005119751	0.0005119751
KHM	Cambodia	0.0000011762	0.0000006227	0.0000000000	0.0000000000	0.0000024215	0.0000254779	0.0000000000	0.0000000000	0.0000000000	0.0000254779
CMR	Cameroon	0.0000144085	0.0000022805	0.0000027988	0.0000006738	0.0000231158	0.0003832172	0.0000000000	0.0000000000	0.0000000000	0.0003832172
CAN	Canada	0.0000480121	0.0000690341	0.0000173105	0.0001104249	0.0004242406	0.0024411031	0.0000080466	0.0002163366	0.0013359066	0.0040013929
CHL	Chile	0.0000000597	0.0000000000	0.0000000000	0.0000000000	0.0000000597	0.0000015143	0.0000000000	0.0000000000	0.0000000000	0.0000015143
CHN	China	0.0000424362	0.0000572289	0.0000001827	0.0000017202	0.0001605172	0.0014705052	0.0000020129	0.0000000000	0.0000000000	0.0014725181
COL	Colombia	0.0000375521	0.0000127587	0.0000061531	0.0000244767	0.0001181759	0.0013467865	0.0000000000	0.0000000000	0.0000000000	0.0013467865
COG	Congo	0.0000128326	0.0000062518	0.0000000000	0.0000000000	0.0000253362	0.0004999924	0.0000000000	0.0000000000	0.0486570810	0.0491570734
