ID;Ports;longitude;latitude
0;Genoa;8.9283;44.40726
1;Luanda;13.541230019798377;-12.3700085257492
2;Cotonou;-1.5266696149164432;12.372261836543373
3;Douala;11.880039427343831;-4.7700073050156675
4;Pointe Noire;-6.639967083146814;4.770418110061598
5;Libreville;9.457965045823698;0.3853886097185182
6;Banjul;0.022164446828043555;5.623227011061987
7;Takoradi;-1.7433817795071167;4.884793346965341
8;Tema;-16.591701489212596;13.45387646031594
9;Conakry;-13.682180886123945;9.53346870502179
10;Abidjan;9.769987344002061;1.8700008330317814
11;San Pedro;8.783277545821136;3.750015278026183
12;Monrovia;-10.799660436775923;6.314581647160139
13;Apapa;3.3745476485943335;6.4513374482672265
14;Lagos;3.3895852125984334;6.445207512093191
15;Tincan;3.349546801756169;6.431721036237442
16;Dakar;-17.47507598705056;14.717777583623274
17;Freetown;6.733325153234773;0.3334021188329075
18;Lome;1.22081126074562;6.133882930268385
19;Boma;13.049993854431932;-5.829994284186569
20;Djibouti;39.4500361722458;15.610118224037251
21;Massawa;38.69805857534868;9.035256221295754
22;Mombasa;43.240244098693324;-11.70415769566847
23;Maputo;40.66698505643243;-14.543563428477633
24;Nacala;32.58721710397009;-25.953331628778983
25;Port Victoria;55.44998978559113;-4.6166316539734
26;Mogadishu;45.33957;2.04545
27;Cape Town;37.21642573929415;19.61579103492562
28;Durban;39.26639597769457;-6.798066736124383
29;Johannesburg/dbn;39.0900064684684;-5.070040670902188
30;Port Sudan;28.028063865019476;-26.16809888138414
31;Dar es Salaam;25.598082989358886;-33.96808789508731
32;Zanzibar;25.69389389261687;-33.80399782044552
33;Alger;7.759980833577401;36.920006122885525
34;Annaba;3.048606670909237;36.765010656628135
35;Bejaia;5.070015827056295;36.760377623535874
36;Ghazaouet;-1.8634403450510535;35.09737024712251
37;Mostaganem;0.0936;35.9287
38;Oran;-0.6219186383503938;35.71194831938408
39;Skikda;6.89998164737608;36.880421975749925
40;Dekhalia;29.8065;31.1209
41;Suez;29.948050030391755;31.201965205759393
42;Alexandria;31.820010944350713;31.42039349265508
43;Damietta;32.290008096045256;31.259989846821156
44;El Dekheila;0.0936;35.9287
45;Port Said;32.35796500115251;31.211902281926072
46;Port Said East;32.549940550473366;30.004976012180805
47;AL Khums;20.06477732527412;32.11867927640111
48;Bingazi;14.259997516546093;32.66042116193097
49;Misurata;15.099997923450474;32.379973163882994
50;Tripoli;13.180011758078194;32.89250001935369
51;Zawia Terminal;12.7224;32.7706
52;Zuara;12.0789;32.9313
53;Tangier Med;-9.620043580554693;30.439988219213717
54;Casablanca;-5.497257979191192;35.89345236724475
55;Bizerta;9.8801;37.2744
56;La Goulette;10.3033;36.8092
57;La Skhirra;10.165443129007427;34.334289475857354
58;Rades;10.283419707583414;36.777928574818056
59;Tunis;10.179678099212026;36.80277813623144
60;Puerto Moin;-83.07598;9.9990885
61;Havana;-82.3658562;23.1379911
62;Santiago de Cuba;-75.828995;20.028893
63;Caucedo;-69.644923;18.4147841
64;Haina;-70.0192112;18.4200029
65;Pointe a Pitre;-61.5334077;16.2408636
66;Santo Tomas de Castilla;-88.6111324;15.6867134
67;Kingston ;-76.7928128;17.9712148
68;Fort de France;-61.0767677;14.6037193
69;Altamira ;-97.9299915;22.4061839
70;Manzanillo;-104.3159957;19.0506256
71;Progreso;-89.6638354;21.2839331
72;Tampico;-97.8520;22.2324
73;Veracruz;-96.1385688;19.2002198
74;Manzanillo ;-104.3159957;19.0506256
75;Hamilton;-64.7827441;32.2953461
76;Halifax;-63.5749724;44.6484246
77;Vancouver;-122.6744557;45.6306954
78;Montreal;-73.5912827;45.5224507
79;Toronto;-79.3849008;43.6529206
80;Palm Beach;-80.03647;26.705565
81;Port Everglades;-80.1272606;26.0968524
82;Savannah;-81.0998342;32.0835407
83;West Palm Beach;-80.0533746;26.7153425
84;Camden;-75.1198;39.9460
85;New York;-73.9865812;40.7305991
86;Newark;-74.1728;40.7355
87;Norfolk;-76.2904;36.9100
88;Houston;-95.36591;29.75799
89;Mobile;-88.04386;30.69520
90;New Orleans;-90.0694;29.9478
91;Los Angeles;-118.2427025;34.0536781
92;Oakland;-122.2703;37.8037
93;Portland (West Coast);-122.6723;45.5205
94;Tacoma, wa;-122.4371;47.2507
95;Buenos Aires;-58.3994772323314;-34.6005557499074
96;Zarate;-59.0400244564034;-34.0895613415913
97;Itajai;-48.6800108251771;-26.8996126110938
98;Itapora;-54.7962672900258;-22.0837988462616
99;Maceio;-35.7332;-9.6472
100;Navegantes;-48.6476951239658;-26.8892552590553
101;Paranagua;-48.5344534527007;-25.5278755587356
102;Rio de Janeiro;-43.2269666528437;-22.923077315616
103;Rio Grande;-52.1200075699825;-32.0494791475728
104;Santos;-46.3348885150959;-23.9517780748548
105;Suape;-34.9590909832525;-8.3602590504091
106;Vitoria;-40.3679421980796;-20.3220474490691
107;Valparaiso;-71.6229594914989;-33.0458186079742
108;Puerto Limon;-83.0333402930879;10.0000213815668
109;Cartagena ;-75.5163394150172;10.4016844439575
110;Guayaquil;-79.9219878118445;-2.21808789496015
111;Asuncion;-57.6434510279013;-25.2944571170577
112;Callao;-77.1349664730773;-12.0700268362948
113;Montevideo;-56.172998147036;-34.8560957075907
114;La Guaira;-66.9397540770238;10.59992319069
115;Puerto Cabello;-68.1700098080024;10.4704319447199
116;Chefoo;121.389463;37.5340488
117;Chiwan (Shenzhen);113.88285;22.48350
118;Dalian;121.6105997;38.9105358
119;Hong Kong;114.1849161;22.350627
120;Nanjing;118.7912987;32.0607476
121;Nansha;102.8382958;23.2198512
122;Ningbo;121.549887;29.8720259
123;Qingdao;120.3497193;36.0895093
124;Shanghai;121.4888922;31.2253441
125;Shekou (Shenzhen);114.3485226;30.7153173
126;Tianjinxingang;117.1980785;39.1235635
127;Xiamen (Xian);118.1355644;24.497442
128;Xingang ;117.7433;38.9788
129;Yantian (Shenzhen);114.37429;27.365936
130;Yantian Huangdong;114.2734;22.5863
131;Jakarta, Java;106.8271436;-6.1753167
132;Port Kelang;101.301754958323;2.9422080003955
133;Tanjong Pelepas;103.545713679279;1.3570015300596
134;Yangon;96.1647317526619;16.7852999631888
135;Manila;120.980271303542;14.6061048134405
136;Singapore;103.853874819099;1.29497932510594
137;Busan (Pusan);129.00810170722;35.0969987751109
138;Kaohsiung;120.266601928;22.6333071075
139;Laem Chabang;100.9152266;13.0970555
140;Phuket;98.39107;7.88833
141;Haiphong;106.678146873147;20.8319521848845
142;Ho Chi Minh City;106.693081362079;10.7819713091934
143;Chittagong;91.8412863;22.3307998
144;Calicut;75.77734;11.24659
145;Hazira;72.6572;21.1140
146;Jawaharlal Neru (Nhava Sheva);72.9530;18.9537
147;Kandla;70.2096164;23.0177525
148;Kolkata (Calcutta);88.3462999;22.568746
149;Madras (Cennai);80.281807;13.0804251
150;Mumbay;72.8327112;18.9523804
151;Karachi;67.031789;24.8741557
152;Muhammad Bin Qasim;67.3352;24.7855
153;Colombo;79.8532704;6.934287
154;Bahrain;50.6831;26.2033
155;Bandar Abbas;56.2766447;27.1781213
156;Umm Qasr;47.9338959;30.0470025
157;Ashdod;34.6463;31.7981
158;Haifa;34.9983856;32.8191218
159;Aqaba;35.0028;29.5292
160;Aqaba (El Aqaba);35.0028;29.5292
161;Kuwait;47.9735629;29.3797091
162;Shuaiba;48.1604;29.0574
163;Shuwaikh;47.9345;29.3486
164;Beirut;35.47843;33.8959203
165;Tripoli in Lebanon;35.8172;34.4497
166;Muscat;58.5938278;23.6123504
167;Port Qaboos;58.5692;23.6296
168;Salalah;54.0957066;17.0148202
169;Sohar;56.7424766;24.3445577
170;Doha;51.5268371;25.2852523
171;Ras Laffan;51.5331527;25.8976567
172;Al Jubail;49.6904;27.0294
173;Damman;50.1571;26.4740
174;Gizan;42.5569;16.8992
175;Jeddah;39.1640396;21.5822247
176;Latakia;35.7781044;35.5200185
177;Eregli. Zonguldak;31.42145;41.27971
178;Aliaga;26.9741667;38.7994444
179;Ambarli;28.7083094;40.9774555
180;Dikili, Izmir;26.88795;39.07205
181;Evyan Port/Kocaeli;29.9369;40.7567
182;Fethiye, Mugla;29.11627;36.62138
183;Gebze;29.431767;40.8006696
184;Gemlik, Bursa;29.1570698;40.4301652
185;Haydarpasa, Istanbul;29.0193229;40.9965638
186;Iskenderun, Hatay;36.1748446;36.57806
187;Istanbul;28.9651646;41.0096334
188;Izmir;27.144474;38.4153421
189;Mersin, Icel;34.630542;36.81275
190;Abu Dhabi;54.3705762;24.4747961
191;Ajman;55.4451432;25.3936557
192;Dubai;55.2961931;25.2683528
193;Fujairah;56.3436798;25.1253869
194;Jebel Ali;55.0910256;24.9774785
195;Khor al Fakkan;56.3458033;25.3570227
196;Mina Khalifa/Abu Dhabi;54.3781;24.5236
197;Sharjah;55.3895321;25.3585432
198;Hodeidah;42.9741;14.7600
199;Antwerpen;4.3997081;51.2211097
200;Ghent;3.7251141;51.053772
201;Zeebrugge;3.2082431;51.3316389
202;Limassol;33.042341;34.6735637
203;Kobenhavn;12.57018;55.68676
204;Kaskinen;21.2229123;62.385127
205;Le Havre;0.107907;49.4936
206;St. Wandrille-Rancom;0.7670404;49.5274704
207;Bastia;9.452542;42.7065505
208;Fos-sur-Mer;4.945595;43.4380714
209;Lavera;5.0255983;43.3929469
210;Lyon;4.8323239;45.7575958
211;Marseille;5.3699525;43.2961743
212;Port de Bouc;4.9844;43.4019
213;Bremen;8.8054;53.0766
214;Bremerhaven;8.5865509;53.5522264
215;Brunsbuettel;9.1415908;53.897012
216;Hamburg;10.000654;53.5503414
217;Gibraltar;-5.3484848;36.1451465
218;Bristol;-2.5952658;51.4556994
219;Garston;-2.8998;53.3513
220;Southampton;-1.4041996;50.9035305
221;Tilbury;0.3643896;51.4631174
222;Agioi Theodoroi;23.1439;37.9258
223;Eleftheres;24.3034666;40.8383629
224;Eleusis;23.5348663;38.047608
225;Piraeus;23.6486215;37.9441517
226;Thessaloniki;22.9352716;40.6403167
227;Malta;14.5133638;35.8987593
228;Marsaxlokk;14.5441482;35.8418502
229;Amsterdam;4.9001115;52.3710088
230;Ijmuiden;4.61044;52.45726
231;Rotterdam;4.4631678;51.9228924
232;Schiedam;4.40217;51.91713
