Source;Ports;Target;Destination;Weight
0;Genoa;0;Genoa;0
1;Luanda;0;Genoa;0
2;Cotonou;0;Genoa;290
3;Douala;0;Genoa;1053
4;Pointe Noire;0;Genoa;0
5;Libreville;0;Genoa;0
6;Banjul;0;Genoa;0
7;Takoradi;0;Genoa;857
8;Tema;0;Genoa;2094
9;Conakry;0;Genoa;54
10;Abidjan;0;Genoa;1687
11;San Pedro;0;Genoa;5252
12;Monrovia;0;Genoa;0
13;Apapa;0;Genoa;418
14;Lagos;0;Genoa;4355
15;Tincan;0;Genoa;4566
16;Dakar;0;Genoa;5855
17;Freetown;0;Genoa;0
18;Lomè;0;Genoa;1462
19;Boma;0;Genoa;0
20;Djibouti;0;Genoa;4954
21;Massawa;0;Genoa;19
22;Mombasa;0;Genoa;3249
23;Maputo;0;Genoa;701
24;Nacala;0;Genoa;241
25;Port Victoria;0;Genoa;0
26;Mogadishu;0;Genoa;48
27;Cape Town;0;Genoa;90
28;Durban;0;Genoa;4124
29;Johannesburg/dbn;0;Genoa;4
30;Port Sudan;0;Genoa;358
31;Dar es Salaam;0;Genoa;1037
32;Zanzibar;0;Genoa;6
33;Alger;0;Genoa;10733
34;Annaba;0;Genoa;58
35;Bejaia;0;Genoa;888
36;Ghazaouet;0;Genoa;2699
37;Mostaganem;0;Genoa;5
38;Oran;0;Genoa;598
39;Skikda;0;Genoa;90
40;Dekhalia;0;Genoa;0
41;Suez;0;Genoa;0
42;Alexandria;0;Genoa;15395
43;Damietta;0;Genoa;5009
44;El Dekheila;0;Genoa;0
45;Port Said;0;Genoa;1391
46;Port Said East;0;Genoa;13252
47;AL Khums;0;Genoa;20
48;Bingazi;0;Genoa;977
49;Misurata;0;Genoa;4527
50;Tripoli;0;Genoa;6339
51;Zawia Terminal;0;Genoa;0
52;Zuara;0;Genoa;0
53;Tangier Med;0;Genoa;6724
54;Casablanca;0;Genoa;5728
55;Bizerta;0;Genoa;0
56;La Goulette;0;Genoa;0
57;La Skhirra;0;Genoa;0
58;Rades;0;Genoa;6605
59;Tunis;0;Genoa;7138
60;Puerto Moin;0;Genoa;1906
61;Havana;0;Genoa;2452
62;Santiago de Cuba;0;Genoa;266
63;Caucedo;0;Genoa;1159
64;Haina;0;Genoa;0
65;Pointe a Pitre;0;Genoa;1990
66;Santo Tomas de Castilla;0;Genoa;0
67;Kingston ;0;Genoa;8137
68;Fort de France;0;Genoa;2080
69;Altamira ;0;Genoa;6514
70;Manzanillo;0;Genoa;406
71;Progreso;0;Genoa;19
72;Tampico;0;Genoa;0
73;Veracruz;0;Genoa;8462
74;Manzanillo ;0;Genoa;3818
75;Hamilton;0;Genoa;27
76;Halifax;0;Genoa;5688
77;Vancouver;0;Genoa;2317
78;Montreal;0;Genoa;26224
79;Toronto;0;Genoa;199
80;Palm Beach;0;Genoa;0
