ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
DZA	Algeria	0.0000944019	0.0001652683	0.0000107557	0.0000000289	0.0004357520	0.0050352673	0.0001610767	0.0003041966	0.0046185205	0.0101190611
AGO	Angola	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000805477	0.0000000000	0.0000000000	0.0000805477
ARG	Argentina	0.0000812951	0.0001378945	0.0000000242	0.0000022253	0.0003615588	0.0039205257	0.0000283498	0.0000000000	0.0000000000	0.0039488754
AUS	Australia	0.0003706586	0.0003358469	0.0000000000	0.0000013478	0.0010450482	0.0097846318	0.0000031140	0.0000000000	0.0000000000	0.0097877458
BHR	Bahrain	0.0000352302	0.0000298101	0.0000000000	0.0000000000	0.0000948504	0.0011213354	0.0000000000	0.0000000000	0.0000000000	0.0011213354
BGD	Bangladesh	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000021186	0.0000000000	0.0000000000	0.0000021186
BEL	Belgium	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000176872	0.0008015957	0.0004037297	0.0012230126
BEN	Benin	0.0000101590	0.0000109320	0.0000000000	0.0000000000	0.0000320229	0.0004008531	0.0001896266	0.0000000000	0.0000000000	0.0005904797
BMU	Bermuda	0.0000152987	0.0001988832	0.0000000000	0.0000000000	0.0004130651	0.0043541651	0.0000000000	0.0000000000	0.0000000000	0.0043541651
BRA	Brazil	0.0000614609	0.0001217583	0.0000000845	0.0000062257	0.0003175134	0.0034541225	0.0000191491	0.0000000000	0.0000000000	0.0034732715
CMR	Cameroon	0.0000202652	0.0000171555	0.0000000000	0.0000000000	0.0000545761	0.0008157147	0.0000480239	0.0000000000	0.0000000000	0.0008637385
CAN	Canada	0.0001523204	0.0004318121	0.0000000000	0.0000031474	0.0010222394	0.0114904374	0.0000000000	0.0000000000	0.0000000000	0.0114904374
CHL	Chile	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000242033	0.0000000000	0.0000000000	0.0000242033
CHN	China	0.0000126274	0.0000267848	0.0000071877	0.0000078561	0.0000890971	0.0008688332	0.0000072774	0.0000000000	0.0000000000	0.0008761106
COL	Colombia	0.0001023859	0.0001077699	0.0000000000	0.0000002488	0.0003184234	0.0037506696	0.0000483121	0.0000000000	0.0000000000	0.0037989817
COG	Congo	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0009935883	0.0000000000	0.0000000000	0.0009935883
CRI	"Costa Rica"	0.0000453919	0.0000473848	0.0000019928	0.0001399400	0.0004220344	0.0022001320	0.0000000000	0.0000000000	0.0000000000	0.0022001320
CUB	Cuba	0.0000691587	0.0000821150	0.0000000000	0.0000022761	0.0002379410	0.0027018769	0.0000000000	0.0000000000	0.0000000000	0.0027018769
CYP	Cyprus	0.0002031420	0.0001469152	0.0000018138	0.0000000000	0.0004987861	0.0047677606	0.0000000000	0.0000000000	0.0000000000	0.0047677606
DNK	Denmark	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000341430	0.0000000000	0.0000000000	0.0000341430
DJI	Djibouti	0.0019499600	0.0023685803	0.0000027008	0.0000000000	0.0066898213	0.0716097838	0.0172858015	0.0000000000	0.0000000000	0.0888955853
DOM	"Dominican Republic"	0.0000430586	0.0000316577	0.0000016287	0.0000049879	0.0001179785	0.0013058463	0.0000242523	0.0000000000	0.0000000000	0.0013300985
ECU	Ecuador	0.0000000676	0.0000000000	0.0000000000	0.0000000000	0.0000000676	0.0000010764	0.0000000000	0.0000000000	0.0000000000	0.0000010764
EGY	Egypt	0.0001030919	0.0001574960	0.0000035416	0.0000069465	0.0004355187	0.0050500798	0.0001189510	0.0000000000	0.0004942721	0.0056633029
ERI	Eritrea	0.0000015536	0.0000008631	0.0000000000	0.0000000000	0.0000032798	0.0000377025	0.0000000000	0.0000000000	0.0000000000	0.0000377025
FIN	Finland	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0008300915	0.0008300915
FRA	France	0.0000242402	0.0000355575	0.0000723347	0.0000119194	0.0001915286	0.0012765416	0.0005038568	0.0013058994	0.0011729642	0.0042592619
GAB	Gabon	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0013315472	0.0000000000	0.0000000000	0.0013315472
GMB	Gambia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000470734	0.0000000000	0.0000000000	0.0000470734
DEU	Germany	0.0000087161	0.0000134715	0.0000001100	0.0000018215	0.0000394121	0.0005214393	0.0000034755	0.0000804746	0.0003411031	0.0009464923
GHA	Ghana	0.0000274036	0.0000468368	0.0000001643	0.0000000000	0.0001212416	0.0012375941	0.0002969827	0.0000000000	0.0000000000	0.0015345768
GIB	Gibraltar	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.4509037441	0.4509037441
GBR	"Great Britain"	0.0000008501	0.0000009463	0.0000000000	0.0000000160	0.0000027747	0.0000425011	0.0000065840	0.0002839525	0.0000000000	0.0003330376
GRC	Greece	0.0000967273	0.0000615455	0.0000024545	0.0000023636	0.0002270000	0.0035606473	0.0000000000	0.0008340000	0.0027289091	0.0071235564
GLP	Guadeloupe	0.0018239278	0.0013340858	0.0000000000	0.0000000000	0.0044920993	0.0578167720	0.0000000000	0.0000000000	0.0000000000	0.0578167720
GTM	Guatemala	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003831278	0.0000000000	0.0000000000	0.0003831278
GIN	Guinea	0.0000029058	0.0000011623	0.0000000000	0.0000000000	0.0000052305	0.0000785624	0.0000980693	0.0000000000	0.0000000000	0.0001766317
IND	India	0.0000027107	0.0000035308	0.0000000043	0.0000000009	0.0000097783	0.0001125161	0.0000073820	0.0000000000	0.0000000000	0.0001198981
IDN	Indonesia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000142474	0.0000000000	0.0000000000	0.0000142474
IRN	Iran	0.0000353209	0.0000543918	0.0000000000	0.0000000000	0.0001441046	0.0018067987	0.0000013403	0.0000000000	0.0000000000	0.0018081390
IRQ	Iraq	0.0000042128	0.0000076167	0.0000000000	0.0000000000	0.0000194462	0.0002149095	0.0000000000	0.0000000000	0.0000000000	0.0002149095
ISR	Israel	0.0006944534	0.0008229552	0.0000135981	0.0000125102	0.0023789823	0.0248419816	0.0000059832	0.0002711455	0.0004283392	0.0255474494
ITA	Italy	0.0001274438	0.0001464692	0.0000170036	0.0000103413	0.0004580684	0.0054690467	0.0485750427	0.0006449915	0.0173689974	0.0720580783
CIV	"Ivory Coast"	0.0000520922	0.0001361426	0.0000000950	0.0000025168	0.0003295060	0.0035277341	0.0002888902	0.0000000000	0.0000000000	0.0038166243
JAM	Jamaica	0.0004755496	0.0011783374	0.0000256389	0.0000000000	0.0028578634	0.0335222103	0.0000000000	0.0000000000	0.0000000000	0.0335222103
JOR	Jordan	0.0004189113	0.0002514404	0.0000015608	0.0000000000	0.0009233528	0.0127827304	0.0004277452	0.0000000000	0.0000000000	0.0132104756
KEN	Kenya	0.0000520144	0.0000144582	0.0000000000	0.0000000999	0.0000811306	0.0014479788	0.0001036146	0.0000000000	0.0000000000	0.0015515935
KWT	Kuwait	0.0000265316	0.0000519875	0.0000000000	0.0000000000	0.0001305066	0.0014278457	0.0010811356	0.0000000000	0.0000000000	0.0025089813
LBN	Lebanon	0.0003880980	0.0002339254	0.0000002424	0.0000021817	0.0008605545	0.0110573937	0.0000802303	0.0000000000	0.0080000058	0.0191376298
LBR	Liberia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000174488	0.0000000000	0.0000000000	0.0000174488
LBY	Libya	0.0006301987	0.0005997102	0.0000020119	0.0000021667	0.0018359645	0.0229701891	0.0134194672	0.0000000000	0.0000000000	0.0363896563
MYS	Malaysia	0.0002663863	0.0002495161	0.0000102919	0.0000102211	0.0007961526	0.0099474195	0.0000102954	0.0000000000	0.0000000000	0.0099577149
MLT	Malta	0.0066823821	0.0067096774	0.0002506203	0.0005111663	0.0213746898	0.2805351117	0.0049058561	0.0000000000	0.2312828784	0.5167238462
MTQ	Martinique	0.0014737815	0.0016655117	0.0000000000	0.0000000000	0.0048048048	0.0541777085	0.0000000000	0.0000000000	0.0000000000	0.0541777085
MEX	Mexico	0.0000246824	0.0000558377	0.0000000622	0.0000002578	0.0001369357	0.0014414026	0.0000363597	0.0000000000	0.0000000000	0.0014777623
MAR	Morocco	0.0001187577	0.0001373491	0.0000000000	0.0000001265	0.0003937089	0.0047503117	0.0025546251	0.0000000000	0.0000000000	0.0073049367
MOZ	Mozambique	0.0000093376	0.0000151395	0.0000000000	0.0000015411	0.0000426989	0.0004345893	0.0000315972	0.0000000000	0.0000000000	0.0004661865
MMR	Myanmar	0.0000000000	0.0000003183	0.0000000000	0.0000000000	0.0000006365	0.0000060407	0.0000019658	0.0000000000	0.0000000000	0.0000080065
NLD	Netherlands	0.0000024031	0.0000082307	0.0000019826	0.0000200661	0.0000609793	0.0003145816	0.0000393211	0.0004353259	0.0049811956	0.0057704242
NZL	"New Zealand"	0.0000004703	0.0000000000	0.0000000000	0.0000000000	0.0000004703	0.0000099241	0.0000000000	0.0000000000	0.0000000000	0.0000099241
NGA	Nigeria	0.0000163052	0.0000219740	0.0000000000	0.0000001948	0.0000606429	0.0007095923	0.0001956153	0.0000000000	0.0000000000	0.0009052077
OMN	Oman	0.0001890342	0.0001459034	0.0000000000	0.0000020218	0.0004848845	0.0060864429	0.0000000000	0.0000000000	0.0117774033	0.0178638462
PAK	Pakistan	0.0000032808	0.0000029338	0.0000000000	0.0000000000	0.0000091484	0.0001115564	0.0000000000	0.0000000000	0.0000000000	0.0001115564
PAN	Panama	0.0002797099	0.0004186853	0.0000011728	0.0000005864	0.0011194262	0.0113108457	0.0000000000	0.0000000000	0.0000000000	0.0113108457
PRY	Paraguay	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000018821	0.0000000000	0.0000000000	0.0000018821
PER	Peru	0.0000000334	0.0000000000	0.0000000000	0.0000000000	0.0000000334	0.0000004056	0.0000000000	0.0000000000	0.0000000000	0.0000004056
PHL	Philippines	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000025294	0.0000000000	0.0000000000	0.0000025294
PRT	Portugal	0.0000066504	0.0000112402	0.0000042151	0.0000113338	0.0000560135	0.0004021328	0.0000000000	0.0039540090	0.0001967029	0.0045528447
QAT	Qatar	0.0001641048	0.0003733979	0.0000000000	0.0000000000	0.0009109006	0.0091902260	0.0002057256	0.0000000000	0.0000000000	0.0093959516
RUS	Russia	0.0000000071	0.0000000000	0.0000000000	0.0000000000	0.0000000071	0.0000000462	0.0000050250	0.0000000000	0.0000000000	0.0000050712
SAU	"Saudi Arabia"	0.0002800040	0.0004208415	0.0000010881	0.0000005052	0.0011237856	0.0135192002	0.0015357984	0.0000000000	0.0026791777	0.0177341762
SEN	Senegal	0.0001132818	0.0001788489	0.0000000811	0.0000020287	0.0004751181	0.0052281102	0.0006142429	0.0000000000	0.0000000000	0.0058423531
SYC	Seychelles	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0014715871	0.0000000000	0.0000000000	0.0014715871
SLE	"Sierra Leone"	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000422728	0.0000000000	0.0000000000	0.0000422728
SGP	Singapore	0.0047555141	0.0050269417	0.0001731521	0.0002969537	0.0155764572	0.1968475255	0.0007370090	0.0000000000	0.0005583836	0.1981429181
SOM	Somalia	0.0000041533	0.0000002967	0.0000000000	0.0000000000	0.0000047466	0.0000422133	0.0000000000	0.0000000000	0.0000000000	0.0000422133
ZAF	"South Africa"	0.0000229592	0.0000315306	0.0000000612	0.0000000000	0.0000860816	0.0009533306	0.0000832955	0.0000000000	0.0000000000	0.0010366261
KOR	"South Korea"	0.0001316120	0.0001842939	0.0000104703	0.0000152408	0.0005411518	0.0058803499	0.0000000000	0.0000000000	0.0000000000	0.0058803499
ESP	Spain	0.0003283450	0.0004642845	0.0001975661	0.0000505312	0.0015555425	0.0163286005	0.0010056814	0.0027567648	0.0029336238	0.0230246704
LKA	"Sri Lanka"	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000046481	0.0000000000	0.0000000000	0.0000046481
SDN	Sudan	0.0000038286	0.0000032000	0.0000000000	0.0000000000	0.0000102286	0.0001114997	0.0000575540	0.0000000000	0.0000000000	0.0001690537
SWE	Sweden	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0028389811	0.0028389811
SYR	Syria	0.0000000000	0.0000000901	0.0000000000	0.0000000000	0.0000001802	0.0000017119	0.0000000000	0.0000000000	0.0000000000	0.0000017119
TWN	Taiwan	0.0000999809	0.0000761322	0.0000009173	0.0000013977	0.0002559580	0.0032457309	0.0000000000	0.0000000000	0.0000000000	0.0032457309
TZA	Tanzania	0.0000120546	0.0000064211	0.0000000000	0.0000000000	0.0000248968	0.0003681281	0.0000423038	0.0000000000	0.0000000000	0.0004104319
THA	Thailand	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000239233	0.0000000000	0.0000000000	0.0000239233
TGO	Togo	0.0000361305	0.0000929069	0.0000000000	0.0000000000	0.0002219443	0.0023922435	0.0014268558	0.0000000000	0.0000000000	0.0038190993
TUN	Tunisia	0.0004782310	0.0003993758	0.0000170932	0.0000018887	0.0012978532	0.0181321198	0.0600143573	0.0000000000	0.0115364729	0.0896829500
TUR	Turkey	0.0000746747	0.0001483597	0.0000016709	0.0000016966	0.0003764582	0.0043717568	0.0000218470	0.0002268389	0.0007084972	0.0053289399
ARE	"United Arab Emirates"	0.0030520985	0.0046812511	0.0000570786	0.0000044216	0.0124805224	0.1479791052	0.0042261877	0.0000000000	0.0062278004	0.1584330933
USA	"United States"	0.0000636876	0.0001663106	0.0000000387	0.0000002450	0.0003968374	0.0045084429	0.0000186307	0.0000159267	0.0000000000	0.0045430004
URY	Uruguay	0.0002407248	0.0003399482	0.0000025884	0.0000468795	0.0010169687	0.0099717227	0.0001319327	0.0000000000	0.0000000000	0.0101036555
VEN	Venezuela	0.0000142158	0.0000261174	0.0000000000	0.0000000000	0.0000664506	0.0005447719	0.0000778423	0.0000000000	0.0000000000	0.0006226143
VNM	Vietnam	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000026906	0.0000000000	0.0000000000	0.0000026906
YEM	Yemen	0.0000026388	0.0000065545	0.0000000000	0.0000000000	0.0000157478	0.0001772775	0.0000000000	0.0000000000	0.0000000000	0.0001772775
COD	Zaire	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000026937	0.0000000000	0.0000000000	0.0000026937
