ISO_A3	Nation	Containers full 20'	"Containers	full	40'"	Containers empty 20'	Containers empty 40'	TEUS	Containerised Cargo	Conventional Cargo	Solid Bulk	Liquid Bulk	TOTAL
ALB	Albania	0	0	0	0	0	0	0	0	50823	50823
DZA	Algeria	425	89	1336	2690	7319	25071.61	3068.79	0	548476	576616.4
AGO	Angola	0	1	0	0	2	28.88	0	0	377014	377042.88
ARG	Argentina	941	1154	275	276	4076	53685.06	14266	0	55981	123932.06
AUS	Australia	190	227	0	0	644	10775.33	0	0	0	10775.33
BHS	Bahamas	2	7	0	0	16	193.08	0	0	0	193.08
BGD	Bangladesh	377	476	0	0	1329	10910.99	0	0	0	10910.99
BEL	Belgium	12	29	23	133	359	1335.08	26	0	0	1361.08
BEN	Benin	127	4	70	0	205	3892.18	0	0	0	3892.18
BRA	Brazil	6195	2681	525	1355	14792	211516.21	1098	0	0	212614.21
BGR	Bulgaria	0	0	0	0	0	0	0	11653	3106	14759
KHM	Cambodia	3	0	0	0	3	36.11	0	0	0	36.11
CMR	Cameroon	329	43	555	44	1058	11102.86	1829.52	0	355742	368674.38
CAN	Canada	1619	2748	385	1265	10030	81978.42	24	33393	0	115395.42
CHL	Chile	38	58	0	0	154	2479.76	0	0	0	2479.76
CHN	China	68234	93098	114	2165	258874	2433139.36	97	0	0	2433236.36
COL	Colombia	711	124	0	0	959	20833.42	9219	0	0	30052.42
COG	Congo	79	28	1	0	136	2508.07	0	0	0	2508.07
CRI	Costa Rica	29	8	0	0	45	777.96	18435	0	0	19212.96
HRV	Croatia	0	0	0	0	0	0	7172.08	8951	11600	27723.08
CUB	Cuba	29	177	425	467	1742	7423.36	0	0	0	7423.36
CYP	Cyprus	12	10	33	59	183	627.46	0	4100	0	4727.46
DNK	Denmark	0	0	0	0	0	0	0	0	24872	24872
DJI	Djibouti	390	120	1363	1456	4905	16464.75	281.64	0	0	16746.39
DOM	Dominican Republic	929	497	60	865	3713	39341.19	0	0	0	39341.19
ECU	Ecuador	28	49	0	0	126	2108.75	0	0	0	2108.75
EGY	Egypt	10136	7353	2044	6366	39618	410716.6	2274.78	69627	347751	830369.38
GNQ	Equatorial Guinea	13	5	30	34	121	528.73	276	0	0	804.73
FIN	Finland	0	0	0	0	0	0	101881	0	0	101881
FRA	France	833	1051	30	1149	5263	43828.76	56836.25	61146	241962	403773.01
GAB	Gabon	38	109	0	0	256	3775.53	0	0	0	3775.53
GEO	Georgia	0	0	0	0	0	0	3045.29	0	743574	746619.29
DEU	Germany	83	71	0	38	301	3499.19	413.5	0	0	3912.69
GHA	Ghana	1258	130	467	289	2563	26625.27	236.46	0	0	26861.73
GIB	Gibraltar	0	0	0	0	0	0	0	19380	0	19380
GBR	Great Britain	3	1	150	800	1755	3559.88	2521.8	90499	264502	361082.68
GRC	Greece	6193	2255	234	1113	13163	194591.02	1455	10602	136600	343248.02
GLP	Guadaloupe	156	2	0	0	160	3727.78	0	0	0	3727.78
GTM	Guatemala	88	1	0	0	90	2019.02	826.23	0	0	2845.25
GIN	Guinea	15	0	137	20	192	748.21	0	0	0	748.21
HTI	Haiti	0	1	0	0	2	29.4	0	0	0	29.4
HND	Honduras	26	0	0	0	26	603.03	0	0	0	603.03
IND	India	8107	3738	81	332	16328	236216.67	711	0	0	236927.67
IDN	Indonesia	750	842	0	0	2434	30074.45	0	0	291294	321368.45
IRN	Iran	1273	71	147	1072	3706	36059.32	0	0	173197	209256.32
ISR	Israel	1374	1699	356	3263	11654	76309.75	0	0	82129	158438.75
ITA	Italy	21853	11522	8637	15042	83618	765155.06	2887797.29	3187610	2120494	8961056.35
CIV	Ivory Coast	1622	1366	521	191	5257	70174.1	388	0	0	70562.1
JAM	Jamaica	438	286	462	1565	4602	24719.63	0	0	0	24719.63
JPN	Japan	548	550	0	0	1648	16030.47	5885	0	0	21915.47
JOR	Jordan	0	0	1	15	31	61.93	0	0	0	61.93
KEN	Kenya	2190	202	1651	748	5741	56412.02	238.78	0	0	56650.8
KWT	Kuwait	1	0	0	0	1	3.7	0	0	0	3.7
LBN	Lebanon	301	109	962	675	2831	11598.56	797	0	0	12395.56
LBR	Liberia	21	0	0	28	77	672.28	0	0	0	672.28
LBY	Libya	10	20	838	988	2864	6679.19	4049.04	0	436277	447005.23
MDG	Madagascar	0	1	0	0	2	10.1	184	0	0	194.1
MYS	Malaysia	9659	11701	163	1861	36946	374514.42	16884	0	163550	554948.42
MLT	Malta	5018	2348	915	1941	14511	166287.94	11215.98	0	490315	667818.92
MTQ	Martinique	28	8	0	1	46	846.67	0	0	0	846.67
MUS	Mauritius	216	2	0	0	220	5716.47	0	0	0	5716.47
MEX	Mexico	2603	1661	210	841	7817	116547.28	576.26	0	0	117123.54
MAR	Morocco	1015	935	1119	2023	8050	57153.71	80204.82	29155	1040	167553.53
MOZ	Mozambique	1066	0	31	338	1773	26245.64	41478.4	0	0	67724.04
MMR	Myanmar	1	1	0	0	3	36.67	0	0	0	36.67
NAM	Namibia	1	1	0	0	3	41.41	40223.06	0	0	40264.47
NLD	Netherlands	29	95	2	40	301	3391.15	1194	11202	3002	18789.15
ANT	Netherlands Antilles	2	0	0	0	2	20.66	0	0	0	20.66
NZL	New Zealand	63	105	0	0	273	4840.84	0	0	0	4840.84
NIC	Nicaragua	0	2	0	0	4	27.4	0	0	0	27.4
NGA	Nigeria	315	280	1358	574	3381	17803.76	0	0	866817	884620.76
UNK	Not specified	1428	1430	8416	17290	47284	133032.69	39106	0	0	172138.69
OMN	Oman	2571	705	54	868	5771	77006.59	0	0	0	77006.59
PAK	Pakistan	585	487	2	55	1671	18489.98	0	8160	0	26649.98
PAN	Panama	283	241	47	308	1428	13206.11	259.9	0	0	13466.01
PER	Peru	49	32	0	0	113	1877.9	0	0	0	1877.9
PHL	Philippines	192	164	0	0	520	6099.71	0	0	400	6499.71
PRT	Portugal	0	0	0	0	0	0	1522	7500	0	9022
QAT	Qatar	0	0	0	0	0	0	0	0	9357	9357
REU	Reunion	35	0	0	0	35	856.1	0	0	0	856.1
ROU	Romania	0	1	0	0	2	33.25	0	0	33754	33787.25
RUS	Russia	106	2	5	912	1939	7325.38	2497.66	6062	4709844	4725729.04
SAU	Saudi Arabia	3602	3784	2600	3960	21690	185356.69	687.14	0	19971	206014.83
SEN	Senegal	269	58	964	1026	3401	12170.51	1294.77	0	18962	32427.28
SLE	Sierra Leone	84	19	6	3	134	2684.33	0	0	0	2684.33
SGP	Singapore	13535	12790	489	2372	44348	450172.27	731	35005	0	485908.27
SVN	Slovenia	0	0	0	0	0	0	2197	0	0	2197
ZAF	South Africa	741	338	94	308	2127	28649.41	53580.28	3490	0	85719.69
KOR	South Korea	7195	5725	1	250	19146	236605.77	25108	0	0	261713.77
ESP	Spain	9153	5663	1204	10647	42977	398597.94	359349.95	72148	341709	1171804.89
LKA	Sri Lanka	2196	1955	24	61	6252	69636.96	0	0	0	69636.96
VCT	St Vincent	1	0	0	0	1	7.43	0	0	0	7.43
SDN	Sudan	0	0	0	0	0	0	154	0	0	154
SUR	Suriname	1	0	0	0	1	8.75	0	0	0	8.75
SWE	Sweden	1	0	0	0	1	5	39862	0	0	39867
SYR	Syria	0	0	0	0	0	0	0	0	268434	268434
TWN	Taiwan	5561	6888	0	100	19537	196877.2	2237	0	0	199114.2
TZA	Tanzania	742	2	446	499	2190	20766.05	37	0	0	20803.05
THA	Thailand	1871	814	0	0	3499	51061.61	0	0	0	51061.61
TGO	Togo	26	120	130	34	464	4868.27	0	0	0	4868.27
TTO	Trinidad	2	0	0	0	2	29.53	0	0	0	29.53
TUN	Tunisia	1836	795	3880	4726	16758	87307.17	574395.52	83068	319691	1064461.69
TUR	Turkey	2068	4002	1073	3685	18515	136436.41	13039.72	86522	2041607	2277605.13
UKR	Ukraine	12	39	0	0	90	1576.75	5153.42	72371	252327	331428.17
ARE	United Arab Emirates	5608	3371	616	2799	18564	219326.42	3019.93	0	0	222346.35
USA	United States of America	6634	16481	1527	2191	45505	467109.09	1884	567345	144310	1180648.09
URY	Uruguay	187	641	1	39	1548	22014.36	0	0	0	22014.36
VEN	Venezuela	6	0	0	0	6	118.48	16.72	160514	0	160649.2
VNM	Vietnam	747	672	0	6	2103	23340.21	0	0	0	23340.21
COD	Zaire	7	2	0	0	11	197.43	0	0	0	197.43
