ISO_A3	Nation	Containers full 20'	"Containers	full	40'"	Containers empty 20'	Containers empty 40'	TEUS	Containerised Cargo	Conventional Cargo	Solid Bulk	Liquid Bulk	TOTAL
ALB	Albania	58	6	0	0	70	1474.54	0	0	0	1474.54
DZA	Algeria	2316	3339	0	0	8994	95793.92	7720.44	0	1517	105031.36
ASM	American Samoa	1	7	0	0	15	181.71	0	0	0	181.71
AGO	Angola	150	129	0	0	408	5508.83	0	0	0	5508.83
ARG	Argentina	3220	3524	8	867	12010	132962.73	0	0	0	132962.73
ABW	Aruba	33	3	0	0	39	789.03	0	0	0	789.03
AUS	Australia	5300	4843	3	0	14989	191160	0	0	0	191160
BHS	Bahamas	1	1	0	0	3	30.8	0	0	0	30.8
BHR	Bahrain	355	368	1	1	1094	13219.04	0	0	0	13219.04
BGD	Bangladesh	365	244	0	3	859	12133.17	481	0	0	12614.17
BRB	Barbados	32	10	0	0	52	775.55	0	0	0	775.55
BEL	Belgium	15	2	0	0	19	364.05	117	73488	10338	84307.05
BLZ	Belize	2	3	0	0	8	83.63	0	0	0	83.63
BEN	Benin	240	176	0	0	592	9263.41	1655.28	0	0	10918.69
BMU	Bermuda	24	19	0	0	62	897.76	0	0	0	897.76
BOL	Bolivia	0	1	0	0	2	22.42	0	0	0	22.42
BWA	Botswana	1	1	0	0	3	38.07	0	0	0	38.07
BRA	Brazil	9086	10292	824	2703	35900	377066.64	4413.65	0	0	381480.29
BRN	Brunei	24	8	0	0	40	565.9	0	0	0	565.9
BGR	Bulgaria	50	12	0	0	74	1580.6	0	0	0	1580.6
BFA	Burkina Faso	4	5	0	0	14	166.54	0	0	0	166.54
KHM	Cambodia	14	52	0	0	118	970.57	0	0	0	970.57
CMR	Cameroon	592	355	30	27	1386	20096.55	217.78	0	0	20314.33
CAN	Canada	3946	9932	34	36	23916	268241.32	0	0	0	268241.32
CPV	Cape Verde	9	10	0	0	29	295.78	0	0	0	295.78
CYM	Cayman Islands	33	5	0	0	43	789.89	0	0	0	789.89
CHL	Chile	455	433	0	0	1321	17087.72	523.55	0	0	17611.27
CHN	China	17646	38868	17123	13524	139553	1302544.9	3996.84	0	0	1306541.74
COL	Colombia	1099	1589	0	4	4285	52209.25	6417.51	0	0	58626.76
COG	Congo	296	466	0	1	1230	14915.69	0	0	0	14915.69
CRI	Costa Rica	44	153	0	0	350	3683.21	0	0	0	3683.21
HRV	Croatia	0	11	0	0	22	266.86	114	0	0	380.86
CUB	Cuba	262	313	0	0	888	11299.91	0	0	0	11299.91
CYP	Cyprus	502	284	0	3	1076	13300.78	0	0	0	13300.78
DNK	Denmark	0	1	0	0	2	24	824.3	8018	4240	13106.3
DJI	Djibouti	804	711	7	0	2233	23378.07	7781.68	0	0	31159.75
DMA	Dominica	1	0	0	0	1	24	0	0	0	24
DOM	Dominican Republic	277	464	0	3	1211	14010.89	146	0	0	14156.89
ECU	Ecuador	153	179	0	0	511	5143.5	0	0	0	5143.5
EGY	Egypt	7530	9725	1117	247	28591	336284.21	11984.47	0	41103	389371.68
SLV	El Salvador	20	32	0	0	84	947.38	0	0	0	947.38
GNQ	Equatorial Guinea	57	44	0	0	145	1808.49	53.5	0	0	1861.99
ERI	Eritrea	3317	2402	1220	358	10057	112367.92	36.28	0	0	112404.2
EST	Estonia	24	3	0	0	30	624.43	0	0	0	624.43
FJI	Fiji	1	10	0	0	21	305.54	0	0	0	305.54
FIN	Finland	10	29	0	0	68	989.64	691.23	0	0	1680.87
FRA	France	3502	4340	1315	1114	15725	156399.14	35869.06	30903	22921	246092.2
PYF	French Polynesia	127	64	0	0	255	4210.02	0	0	0	4210.02
GAB	Gabon	263	166	0	0	595	9942.85	0	0	0	9942.85
GMB	Gambia	7	57	0	0	121	1352.67	0	0	0	1352.67
GEO	Georgia	287	472	0	0	1231	15460.09	547.82	0	0	16007.91
DEU	Germany	226	122	0	0	470	8659.3	44	0	0	8703.3
GHA	Ghana	2438	3629	78	79	9932	124354.67	4002.14	0	0	128356.81
GBR	Great Britain	68	157	0	0	382	5724.4	0	0	0	5724.4
GRC	Greece	513	207	0	3	933	16575.85	662	1241	0	18478.85
GRD	Grenada	0	1	0	0	2	9.7	0	0	0	9.7
GLP	Guadaloupe	381	373	0	0	1127	14737.04	0	0	0	14737.04
GUM	Guam	12	2	0	0	16	166.96	0	0	0	166.96
GTM	Guatemala	126	113	0	0	352	4647.63	7107.31	0	0	11754.94
GIN	Guinea	178	153	0	0	484	7156.04	2550.49	0	0	9706.53
GUY	Guyana	3	8	0	0	19	213.71	0	0	0	213.71
HTI	Haiti	208	83	0	0	374	4628.98	1400.76	0	0	6029.74
HND	Honduras	7	78	0	0	163	1479.14	0	0	0	1479.14
ISL	Iceland	1	1	0	0	3	52.02	0	0	0	52.02
IND	India	7328	7745	567	241	23867	299740.37	11447	0	0	311187.37
IDN	Indonesia	1373	1813	1	0	5000	75189.43	342	0	0	75531.43
IRN	Iran	1375	2615	832	189	7815	73760.43	1193.75	0	0	74954.18
IRQ	Iraq	45	120	0	0	285	2853.71	354	0	0	3207.71
IRL	Ireland	2	2	0	0	6	73.82	0	0	1508	1581.82
ISR	Israel	5039	5488	167	41	16264	225066.68	0	835	0	225901.68
ITA	Italy	15656	4239	8154	2155	36598	359808.38	2866763.8	50613	727665	4004850.18
CIV	Ivory Coast	1802	1112	10	14	4064	61638.31	2433.47	0	0	64071.78
JAM	Jamaica	206	456	16	0	1134	14070.41	0	0	0	14070.41
JPN	Japan	5531	6042	54	312	18293	207342.51	0	0	0	207342.51
JOR	Jordan	585	668	0	44	2009	21910.43	1869.05	0	33463	57242.48
KEN	Kenya	655	188	2	0	1033	13751.32	5267.17	0	0	19018.49
KWT	Kuwait	1248	2022	32	5	5334	59748.94	293	0	0	60041.94
LVA	Latvija	8	21	0	0	50	512.64	0	0	0	512.64
LBN	Lebanon	2174	1283	0	5	4750	61941.03	3855.7	0	0	65796.73
LBR	Liberia	26	39	0	0	104	1484.41	0	0	0	1484.41
LBY	Libya	1243	989	0	5	3231	43563.76	23418.65	0	0	66982.41
MDG	Madagascar	55	36	0	0	127	1594.8	0	0	0	1594.8
MYS	Malaysia	3598	4158	822	152	13040	167831.65	0	0	0	167831.65
MLI	Mali	0	1	0	0	2	12.99	0	0	0	12.99
MLT	Malta	1082	774	333	362	3687	41364.21	19913.2	0	204553	265830.41
MTQ	Martinique	234	314	0	3	868	11527.55	0	0	0	11527.55
MRT	Mauritania	36	16	0	0	68	843.06	0	0	0	843.06
MUS	Mauritius	63	42	0	0	147	2097.35	0	0	0	2097.35
MEX	Mexico	3238	5589	0	27	14470	161877.34	1095.4	0	0	162972.74
MAR	Morocco	2744	3799	1	50	10443	134169.84	98959.14	0	0	233128.98
MOZ	Mozambique	60	54	0	0	168	2092.46	754.1	0	0	2846.56
MMR	Myanmar	21	21	0	0	63	582.59	0	0	0	582.59
NAM	Namibia	26	38	0	0	102	1152.16	0	0	0	1152.16
NLD	Netherlands	10	98	4	7	224	2495.1	70	66979	100373	169917.1
ANT	Netherlands Antilles	39	7	0	0	53	949.98	0	0	0	949.98
NCL	New Caledonia	43	86	0	0	215	2855.26	0	0	0	2855.26
NZL	New Zealand	1779	1388	0	0	4555	58983.78	0	0	0	58983.78
NIC	Nicaragua	1	0	0	0	1	8.07	0	0	0	8.07
NGA	Nigeria	3873	2446	0	4	8773	136257.18	19571.67	0	0	155828.85
NOR	Norway	2	1	0	0	4	46.95	0	0	0	46.95
UNK	Not specified	10	218	3432	4105	12088	28824.64	65705.72	0	2560	97090.36
OMN	Oman	1005	1301	0	0	3607	44431.31	606.97	0	0	45038.28
PAK	Pakistan	1905	1756	0	3	5423	76488.72	322	0	0	76810.72
PAN	Panama	397	863	0	1	2125	25224	0	0	0	25224
PNG	Papua New Guinea	6	16	0	0	38	408.07	0	0	0	408.07
PRY	Paraguay	23	26	0	0	75	946.21	0	0	0	946.21
PER	Peru	144	204	0	0	552	5886.85	2221.61	0	0	8108.46
PHL	Philippines	511	220	0	0	951	16393.44	0	0	0	16393.44
PRT	Portugal	74	79	33	0	265	3062.35	3276	15744	0	22082.35
PRI	Puerto Rico	30	105	0	0	240	2773.35	0	0	30071	32844.35
QAT	Qatar	577	777	0	0	2131	25608.68	293	0	0	25901.68
REU	Reunion	158	147	0	0	452	5461.89	0	0	0	5461.89
ROU	Romania	3	50	0	0	103	1388.05	0	0	7952	9340.05
RUS	Russia	392	904	0	0	2200	29688.11	2275.65	0	0	31963.76
STP	Sao Tome and Principe	2	0	0	0	2	22.35	0	0	0	22.35
