ISO_A3	Nation	"Containers full 20'"	"Containers	full	40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ALB	Albania	0	0	0	0	0	0	0	0	27703	27703
DZA	Algeria	244	32	2764	4670	12412	30829.12	9100.74	0	236707	276636.86
AGO	Angola	1	0	0	0	1	20	0	0	0	20
ARG	Argentina	1473	1439	429	540	5860	75310.35	0	0	34002	109312.35
AUS	Australia	409	178	233	461	1920	13898.11	887	0	0	14785.11
BHS	Bahamas	10	34	40	7	132	937.96	0	0	0	937.96
BHR	Bahrain	0	1	0	0	2	6.1	0	0	0	6.1
BGD	Bangladesh	74	111	0	0	296	2222.45	0	0	0	2222.45
BEL	Belgium	5	0	50	39	133	276	29	0	0	305
BEN	Benin	7	0	5	3	18	132.36	0	0	0	132.36
BRA	Brazil	11695	6862	2573	7436	42864	492821.06	23	0	0	492844.06
BGR	Bulgaria	0	0	0	0	0	0	0	0	3660	3660
KHM	Cambodia	17	9	0	0	35	368.25	0	0	0	368.25
CMR	Cameroon	278	44	54	13	446	7393.85	0	0	0	7393.85
CAN	Canada	1617	2325	583	3719	14288	82213.91	271	7286	44992	134762.91
CHL	Chile	1	0	0	0	1	25.36	0	0	0	25.36
CHN	China	56442	76117	243	2288	213495	1955836.67	2677.2	0	0	1958513.87
COL	Colombia	1660	564	272	1082	5224	59535.09	0	0	0	59535.09
COG	Congo	39	19	0	0	77	1519.54	0	0	147875	149394.54
CRI	"Costa Rica"	246	517	0	16	1312	18367.68	0	0	0	18367.68
HRV	Croatia	0	0	0	0	0	0	3914.2	0	0	3914.2
CUB	Cuba	94	745	737	1143	4607	26936.76	0	0	0	26936.76
CYP	Cyprus	7	6	127	676	1498	3023.51	0	0	0	3023.51
DJI	Djibouti	269	47	1136	1842	5183	15640.56	765.59	0	0	16406.15
DOM	"Dominican Republic"	1029	597	373	3180	8956	54352.72	0	0	0	54352.72
ECU	Ecuador	2	0	0	0	2	49.8	0	0	0	49.8
EGY	Egypt	5342	4432	4987	12246	43685	258443.71	2750.94	71365	434369	766928.65
FIN	Finland	0	0	0	0	0	0	110817	0	0	110817
FRA	France	896	2205	105	779	6969	73466.81	14536.27	98332	185969	372304.08
GUF	"French Guiana"	0	0	0	0	0	0	292.6	0	0	292.6
GAB	Gabon	27	56	0	0	139	2058.98	0	0	0	2058.98
GEO	Georgia	0	0	0	0	0	0	0	0	456134	456134
DEU	Germany	195	145	0	374	1233	8305.08	185	0	5246	13736.08
GHA	Ghana	1202	559	1134	1218	5890	44582.24	177.8	0	0	44760.04
GIB	Gibraltar	0	0	0	0	0	0	0	0	39723	39723
GBR	"Great Britain"	27	22	19	197	484	1465.2	42	0	129227	130734.2
GRC	Greece	3702	1630	296	1067	9392	116789.81	5980	0	0	122769.81
GLP	Guadeloupe	177	1	12	1	193	3744.11	0	0	0	3744.11
GTM	Guatemala	7	3	0	0	13	129.65	756.92	0	0	886.57
HND	Honduras	2	0	0	0	2	46.7	0	0	0	46.7
IND	India	6398	3771	37	765	15507	184607.13	3938.74	0	0	188545.87
IDN	Indonesia	615	653	0	0	1921	25077.39	0	0	210945	236022.39
IRN	Iran	846	128	72	1220	3614	27876.55	25.7	0	98238	126140.25
ISR	Israel	2874	3262	1803	4439	20079	142854.93	0	0	22691	165545.93
ITA	Italy	23354	14071	1826	13163	79648	856331.05	2799926.76	3021825	1948883	8626965.81
CIV	"Ivory Coast"	1638	1473	583	1359	7885	84244.73	381.58	0	0	84626.31
JAM	Jamaica	463	1033	533	3336	9734	52461.21	0	0	0	52461.21
JPN	Japan	451	531	0	0	1513	13221.38	12921.78	0	0	26143.16
JOR	Jordan	13	8	6	47	129	639.73	12	0	0	651.73
KEN	Kenya	2536	173	316	830	4858	46867.91	645.84	0	0	47513.75
LBN	Lebanon	262	73	1519	810	3547	11921.22	384.82	0	0	12306.04
LBY	Libya	88	49	2792	2450	7878	20084.97	2136.31	0	2481976	2504197.28
MYS	Malaysia	9004	7728	188	1705	28058	304013.15	0	0	136129	440142.15
MLT	Malta	6003	3720	2381	9689	35202	246419.39	1644.28	0	201508	449571.67
MTQ	Martinique	221	11	0	0	243	5291.68	0	0	0	5291.68
MEX	Mexico	2148	1491	377	1628	8763	102311.63	0	0	0	102311.63
MDA	Moldova	0	0	0	0	0	0	0	0	11874	11874
MAR	Morocco	509	789	948	4749	12533	52715.13	64408.9	23692	0	140816.03
MOZ	Mozambique	885	50	41	138	1302	23289.56	45160.56	0	0	68450.12
MMR	Myanmar	3	0	0	0	3	77.43	0	0	0	77.43
NAM	Namibia	0	0	0	0	0	0	32510.66	0	0	32510.66
NLD	Netherlands	112	284	279	604	2167	10400.96	36	0	110180	120616.96
NZL	"New Zealand"	52	1	0	0	54	1129.08	0	0	0	1129.08
NGA	Nigeria	408	176	974	3642	9018	28157.08	70.6	0	1547932	1576159.68
NOR	Norway	0	0	0	0	0	0	118.4	0	94300	94418.4
UNK	"Not specified"	1212	816	9287	22160	56451	149711.7	31110.49	0	0	180822.19
OMN	Oman	151	31	0	15	243	4237.84	0	0	0	4237.84
PAK	Pakistan	589	596	5	26	1838	18579.43	0	0	0	18579.43
PAN	Panama	494	486	139	413	2431	25401.06	0	0	0	25401.06
PNG	"Papua New Guinea"	0	0	0	0	0	0	0	0	12310	12310
PER	Peru	2	2	0	0	6	57.54	0	0	0	57.54
PHL	Philippines	74	156	0	0	386	3814.44	0	0	0	3814.44
POL	Poland	0	0	0	0	0	0	0	0	98935	98935
PRT	Portugal	0	0	0	7	14	30.8	0	13109	1195	14334.8
PRI	"Puerto Rico"	0	1	0	0	2	11.52	0	0	0	11.52
QAT	Qatar	0	0	0	0	0	0	413	0	0	413
ROU	Romania	0	0	0	0	0	0	0	0	17011	17011
RUS	Russia	13	3	0	498	1015	2869	22523.14	0	3570973	3596365.14
SAU	"Saudi Arabia"	5946	4279	3785	4673	27635	261608.63	1360.49	0	0	262969.12
SEN	Senegal	338	232	2236	1341	5720	21399.28	3545.62	0	1562	26506.9
SGP	Singapore	11971	12165	472	2884	42541	403325.58	42	0	0	403367.58
SVN	Slovenia	0	0	0	0	0	0	706	29401	0	30107
ZAF	"South Africa"	426	146	27	154	1053	13953.08	19234.47	0	39951	73138.55
KOR	"South Korea"	6801	4651	129	590	17412	212466.93	15285	0	0	227751.93
ESP	Spain	13057	7806	2979	19523	70694	590830.29	250620.43	245622	372259	1459331.72
LKA	"Sri Lanka"	2302	1718	9	28	5803	66309.48	65	0	0	66374.48
SWE	Sweden	0	0	0	0	0	0	14943	0	0	14943
TWN	Taiwan	5371	5970	4	94	17503	183771.14	0	0	0	183771.14
TZA	Tanzania	346	83	190	636	1974	12554.47	48	0	0	12602.47
THA	Thailand	1416	584	0	0	2584	37960.17	0	0	0	37960.17
TGO	Togo	22	13	1	178	405	1434.3	0	0	0	1434.3
TTO	"Trinidad and Tobago"	0	1	0	0	2	11.76	0	0	0	11.76
TUN	Tunisia	937	707	5782	4987	18107	68333.03	607931.79	94736	152352	923352.82
TUR	Turkey	3026	5131	2439	5228	26183	191078.16	12852.9	21940	2149639	2375510.06
UKR	Ukraine	0	0	0	0	0	0	16152.24	73018	154524	243694.24
ARE	"United Arab Emirates"	8064	5336	594	2650	24630	314032.28	5382.7	0	0	319414.98
USA	"United States"	7189	16281	2787	5275	53088	487198.36	11533.22	119604	179478	797813.58
URY	Uruguay	177	951	164	473	3189	33182.44	0	0	0	33182.44
VEN	Venezuela	44	0	34	117	312	1216.42	0	0	0	1216.42
VNM	Vietnam	589	910	0	0	2409	24855.16	53	0	0	24908.16
