ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ALB	Albania	29	4	0	0	37	676.27	0	0	0	676.27
DZA	Algeria	2668	1346	92	31	11436	117986.48	1066.73	3763	92242	215058.21
AGO	Angola	40	59	0	1	160	1940.82	380.62	0	0	2321.44
ARG	Argentina	4191	683	5	16	16124	186633.18	1512.95	0	0	188146.13
ABW	Aruba	39	4	0	0	47	952.14	0	0	0	952.14
AUS	Australia	5108	5232	3	3	24707	267660.43	726.17	0	0	268386.6
BHS	Bahamas	1	0	0	0	1	20	0	0	0	20
BHR	Bahrain	195	234	0	0	663	8387.2	0	0	0	8387.2
BGD	Bangladesh	220	178	0	0	576	7971.57	0	0	0	7971.57
BRB	Barbados	26	17	0	0	60	881.68	0	0	0	881.68
BEL	Belgium	0	1	0	0	2	21.07	52	44934	2098	47105.07
BLZ	Belize	2	1	0	0	4	44	0	0	0	44
BEN	Benin	153	215	0	0	583	8230.81	1343.08	0	0	9573.89
BMU	Bermuda	26	19	0	0	64	947.65	0	0	0	947.65
BRA	Brazil	14718	16158	13	1450	65103	715839.57	2492.25	0	0	718331.82
BRN	"Brunei Darussalam"	11	28	0	0	67	471.27	0	0	0	471.27
BGR	Bulgaria	7	14	0	0	35	481.25	0	0	0	481.25
BFA	"Burkina Faso"	2	3	0	0	8	58.73	0	0	0	58.73
BDI	Burundi	0	1	0	0	2	30.8	0	0	0	30.8
KHM	Cambodia	5	24	0	0	53	452	0	0	0	452
CMR	Cameroon	421	360	0	1	1143	14482.43	831.06	0	0	15313.49
CAN	Canada	4594	12681	0	59	28382	341929.65	0	0	0	341929.65
CPV	"Cape Verde"	6	6	0	0	18	150.63	0	0	0	150.63
CYM	"Cayman Islands"	27	3	0	0	33	563.42	0	0	0	563.42
CHL	Chile	363	446	0	0	1255	16118.26	0	0	0	16118.26
CHN	China	19655	43280	11149	10491	87271	1434938.53	9852.38	0	0	1444790.91
COL	Colombia	3631	4186	8	142	12295	140090.78	961.44	0	0	141052.22
