ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ALB	Albania	0.0000097089	0.0000013392	0.0000000000	0.0000000000	0.0000123872	0.0002264081	0.0000000000	0.0000000000	0.0000000000	0.0002264081
DZA	Algeria	0.0000771406	0.0000389173	0.0000026600	0.0000008963	0.0003306523	0.0034113761	0.0000308427	0.0001088007	0.0026670187	0.0062180381
AGO	Angola	0.0000030609	0.0000045148	0.0000000000	0.0000000765	0.0000122435	0.0001485152	0.0000291258	0.0000000000	0.0000000000	0.0001776409
ARG	Argentina	0.0001013710	0.0000165202	0.0000001209	0.0000003870	0.0003900037	0.0045142412	0.0000365949	0.0000000000	0.0000000000	0.0045508361
ABW	Aruba	0.0005449515	0.0000558925	0.0000000000	0.0000000000	0.0006567364	0.0133043624	0.0000000000	0.0000000000	0.0000000000	0.0133043624
AUS	Australia	0.0002374074	0.0002431707	0.0000001394	0.0000001394	0.0011483214	0.0124402068	0.0000337506	0.0000000000	0.0000000000	0.0124739575
BHS	Bahamas	0.0000033136	0.0000000000	0.0000000000	0.0000000000	0.0000033136	0.0000662712	0.0000000000	0.0000000000	0.0000000000	0.0000662712
BHR	Bahrain	0.0002642262	0.0003170715	0.0000000000	0.0000000000	0.0008983691	0.0113647081	0.0000000000	0.0000000000	0.0000000000	0.0113647081
BGD	Bangladesh	0.0000014092	0.0000011402	0.0000000000	0.0000000000	0.0000036895	0.0000510610	0.0000000000	0.0000000000	0.0000000000	0.0000510610
BRB	Barbados	0.0000910195	0.0000595128	0.0000000000	0.0000000000	0.0002100451	0.0030865421	0.0000000000	0.0000000000	0.0000000000	0.0030865421
BEL	Belgium	0.0000000000	0.0000000961	0.0000000000	0.0000000000	0.0000001923	0.0000020254	0.0000049986	0.0043193310	0.0002016726	0.0045280275
