ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ALB	Albania	0.0000000000	0.0000006696	0.0000000000	0.0000000000	0.0000013392	0.0000194178	0.0000000000	0.0000000000	0.0159098640	0.0159292818
DZA	Algeria	0.0000261087	0.0000015324	0.0000794537	0.0001602952	0.0004292176	0.0013498376	0.0000112863	0.0002225455	0.0287493122	0.0303329815
ARG	Argentina	0.0000179715	0.0000246957	0.0000039668	0.0000096267	0.0000905832	0.0011129968	0.0000000000	0.0000000000	0.0000913088	0.0012043056
AUS	Australia	0.0000242613	0.0000065533	0.0000125025	0.0000297456	0.0001093617	0.0007390571	0.0000334174	0.0000000000	0.0000000000	0.0007724744
BHR	Bahrain	0.0001111105	0.0000054200	0.0000000000	0.0000000000	0.0001219506	0.0026050943	0.0000000000	0.0000000000	0.0000000000	0.0026050943
BGD	Bangladesh	0.0000006469	0.0000007110	0.0000000000	0.0000000000	0.0000020689	0.0000144439	0.0000000000	0.0000000000	0.0000000000	0.0000144439
BEN	Benin	0.0000001104	0.0000001104	0.0000113737	0.0000086131	0.0000289311	0.0000613913	0.0000000000	0.0000000000	0.0000000000	0.0000613913
BRA	Brazil	0.0000395021	0.0000161310	0.0000057433	0.0000362550	0.0001500174	0.0014983068	0.0000050478	0.0000000000	0.0000000000	0.0015033546
KHM	Cambodia	0.0000025599	0.0000002767	0.0000000000	0.0000000000	0.0000031134	0.0000682020	0.0000000000	0.0000000000	0.0000000000	0.0000682020
CMR	Cameroon	0.0000069451	0.0000055457	0.0000051829	0.0000015030	0.0000262256	0.0003137739	0.0000000000	0.0000000000	0.0000000000	0.0003137739
CAN	Canada	0.0000451023	0.0001287449	0.0000128864	0.0000843849	0.0004842483	0.0028961599	0.0000000000	0.0000000000	0.0000000000	0.0028961599
CHL	Chile	0.0000000597	0.0000000000	0.0000000000	0.0000000000	0.0000000597	0.0000014439	0.0000000000	0.0000000000	0.0000000000	0.0000014439
CHN	China	0.0000407039	0.0000539170	0.0000001669	0.0000010729	0.0001508506	0.0014080106	0.0000086561	0.0000000000	0.0000000000	0.0014166667
COL	Colombia	0.0000352220	0.0000143648	0.0000006560	0.0000191154	0.0001028384	0.0012464682	0.0000011311	0.0000000000	0.0000000000	0.0012475992
CRI	"Costa Rica"	0.0000710771	0.0001614182	0.0000000000	0.0000008857	0.0003956849	0.0054737214	0.0000000000	0.0000000000	0.0000000000	0.0054737214
CUB	Cuba	0.0000071785	0.0000418454	0.0000696840	0.0001031253	0.0003668038	0.0018234194	0.0000000000	0.0000000000	0.0000000000	0.0018234194
CYP	Cyprus	0.0000045344	0.0000009069	0.0001895387	0.0006348187	0.0014655244	0.0029292622	0.0000000000	0.0000000000	0.0595088136	0.0624380757
DJI	Djibouti	0.0004186202	0.0000337597	0.0018702871	0.0019378065	0.0062320398	0.0209315380	0.0000243070	0.0000000000	0.0000000000	0.0209558450
DOM	"Dominican Republic"	0.0001057633	0.0000441783	0.0000904943	0.0003463011	0.0009772165	0.0053016499	0.0000000000	0.0000000000	0.0000000000	0.0053016499
EGY	Egypt	0.0000609406	0.0000562805	0.0000544290	0.0002223261	0.0006725829	0.0032983879	0.0000202965	0.0009633180	0.0038813066	0.0081633091
FIN	Finland	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0268227498	0.0000000000	0.0000000000	0.0268227498
FRA	France	0.0000112092	0.0000243946	0.0000002316	0.0000054039	0.0000710377	0.0007925633	0.0003323892	0.0004977274	0.0030540052	0.0046766851
GAB	Gabon	0.0000025886	0.0000000000	0.0000000000	0.0000000000	0.0000025886	0.0000640347	0.0000000000	0.0000000000	0.0541308716	0.0541949063
GEO	Georgia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0672552916	0.0672552916
DEU	Germany	0.0000012714	0.0000008190	0.0000053299	0.0000086795	0.0000255983	0.0000904951	0.0000006968	0.0000000000	0.0000000000	0.0000911919
GHA	Ghana	0.0000189812	0.0000121200	0.0000206246	0.0000296633	0.0001231726	0.0007652175	0.0000006984	0.0000000000	0.0000000000	0.0007659159
GBR	"Great Britain"	0.0000000321	0.0000000481	0.0000042663	0.0000008019	0.0000059985	0.0000128231	0.0000028710	0.0000000000	0.0014182871	0.0014339812
GRC	Greece	0.0001018182	0.0000815455	0.0000309091	0.0001821818	0.0006601818	0.0045892445	0.0000000000	0.0000000000	0.0000863636	0.0046756082
GLP	Guadeloupe	0.0004040632	0.0000248307	0.0000000000	0.0000000000	0.0004537246	0.0093342212	0.0000000000	0.0000000000	0.0000000000	0.0093342212
