"object"	"unit"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"
"Containerised cargo"	"ton"	"15071159"	"15913679"	"16074744"	"16546974"	"18772228"	"17823904"	"15179538"	"17655776"	"18928463"	"20617496"	"19387170"
"Conventional cargo"	"ton"	"9348735"	"9582750"	"9449040"	"9985050"	"10949391"	"9889963"	"8279275"	"8741767"	"8588526"	"8220202"	"8266742"
"Solid bulk"	"ton"	"8837311"	"9320055"	"8201104"	"6797321"	"5992603"	"5498210"	"3684344"	"4608089"	"5024115"	"4170160"	"4009270"
"Mineral oil"	"ton"	"19424193"	"19885232"	"20460932"	"20567410"	"20463668"	"20005973"	"19387135"	"18830839"	"17021585"	"16363122"	"16071035"
"Other liquid bulk"	"ton"	"1032081"	"1135153"	"1003399"	"1073424"	"1011665"	"999946"	"923208"	"865869"	"830127"	"835874"	"789525"
"Bunkers and supplies"	"ton"	"1204493"	"1195859"	"1266308"	"1353084"	"1460834"	"1444705"	"1284846"	"1249531"	"1230356"	"1184393"	"1016877"
"Containers"	"teu"	"1605946"	"1628594"	"1624964"	"1657113"	"1855026"	"1766605"	"1533627"	"1758858"	"1847102"	"2064806"	"1988013"
"Ship arrivals"	"ship"	"7940"	"7864"	"7702"	"7631"	"7880"	"7254"	"7177"	"7416"	"6943"	"6619"	"6069"
"Ship departures"	"ship"	"7911"	"7855"	"7662"	"7577"	"7848"	"7200"	"7338"	"7465"	"7025"	"6600"	"6072"
"Ferries"	"person"	"2734281"	"2727502"	"2642182"	"2638314"	"2702999"	"2715007"	"2815215"	"2779685"	"2315158"	"1974723"	"1849108"
"Cruises"	"person"	"615800"	"287863"	"395797"	"475134"	"520197"	"547905"	"671468"	"86029"	"798521"	"797239"	"1050085"
