"ISO_A3"	"NATION"	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	"TEUS"	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	"TOTAL"
"ALB"	"Albania"	0	2	0	0	4	58	0	0	47522	47580
"DZA"	"Algeria"	903	53	2748	5544	14845	46685.73	390.35	7697	994329	1049102.08
"ARG"	"Argentina"	743	1021	164	398	3745	46014.85	0	0	3775	49789.85
"AUS"	"Australia"	522	141	269	640	2353	15901.37	719	0	0	16620.37
"BHR"	"Bahrain"	82	4	0	0	90	1922.57	0	0	0	1922.57
"BGD"	"Bangladesh"	101	111	0	0	323	2254.96	0	0	0	2254.96
"BEN"	"Benin"	1	1	103	78	262	555.96	0	0	0	555.96
"BRA"	"Brazil"	7944	3244	1155	7291	30169	301314.49	1015.13	0	0	302329.62
"KHM"	"Cambodia"	37	4	0	0	45	985.77	0	0	0	985.77
"CMR"	"Cameroon"	134	107	100	29	506	6054	0	0	0	6054
"CAN"	"Canada"	1519	4336	434	2842	16309	97539.77	0	0	0	97539.77
"CHL"	"Chile"	1	0	0	0	1	24.18	0	0	0	24.18
"CHN"	"China"	54138	71712	222	1427	200638	1872716.01	11512.99	0	0	1884229
"COL"	"Colombia"	1557	635	29	845	4546	55100.49	50	0	0	55150.49
"CRI"	"Costa Rica"	321	729	0	4	1787	24720.53	0	0	0	24720.53
"CUB"	"Cuba"	82	478	796	1178	4190	20828.92	0	0	0	20828.92
"CYP"	"Cyprus"	5	1	209	700	1616	3230.03	0	0	65619	68849.03
"DJI"	"Djibouti"	310	25	1385	1435	4615	15500.39	18	0	0	15518.39
"DOM"	"Dominican Republic"	1039	434	889	3402	9600	52082.46	0	0	0	52082.46
"EGY"	"Egypt"	4904	4529	4380	17891	54124	265427.44	1633.3	77520	312336	656916.74
"FIN"	"Finland"	0	0	0	0	0	0	140658.5	0	0	140658.5
"FRA"	"France"	726	1580	15	350	4601	51333.05	21528.31	32237	197803	302901.36
"GAB"	"Gabon"	4	0	0	0	4	98.95	0	0	83646	83744.95
"GEO"	"Georgia"	0	0	0	0	0	0	0	0	311392	311392
"DEU"	"Germany"	104	67	436	710	2094	7402.7	57	0	0	7459.7
"GHA"	"Ghana"	462	295	502	722	2998	18625.27	17	0	0	18642.27
