"id"	"name"	"type"	"unit"	"Jan 2012"	"Feb 2012"	"Mar 2012"	"Apr 2012"	"May 2012"	"Jun 2012"	"Jul 2012"	"Aug 2012"	"Sep 2012"	"Oct 2012"	"Nov 2012"	"Dec 2012"
"sech"	"TERMINAL SECH"	"container"	"teu"	22943	22797	25514	24290	32935	33202	32964	27924	32261	29516	20535	22323
"sech"	"TERMINAL SECH"	"miscellaneous goods"	"tons"	0	29	168	158	177	65	25	169	233	24	209	0
"sech"	"TERMINAL SECH"	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0	0	0
"sangiorgio"	"TERMINAL SAN GIORGIO "	"container"	"teu"	3223	3833	4679	5173	5163	6406	5621	4300	5033	5560	5173	5699
"sangiorgio"	"TERMINAL SAN GIORGIO"	"miscellaneous goods"	"tons"	1687	1675	4054	1675	1372	3390	3113	3950	2818	3721	1722	3170
"sangiorgio"	"TERMINAL SAN GIORGIO"	"trucks/vehicles"	"mtl"	73098	112541	132700	122792	127996	133459	137253	111551	132021	134573	127400	110924
"sangiorgio"	"TERMINAL SAN GIORGIO"	"vehicles "	"num"	1864	2116	2860	4438	3078	2570	2776	1546	2565	2457	2924	3690
"sangiorgio"	"TERMINAL SAN GIORGIO"	"passengers"	"num"	0	0	0	0	0	0	0	0	0	0	0	0
"messina"	"TERMINAL MESSINA"	"container"	"teu"	17154	21800	16566	21028	19098	24851	13509	18200	11596	17400	16604	14088
"messina"	"TERMINAL MESSINA"	"miscellaneous goods"	"tons"	56	2482	27	4353	1259	932	494	726	455	673	133	36
"messina"	"TERMINAL MESSINA"	"trucks"	"mtl"	9731	13258	11687	12169	14567	10615	6287	10856	6765	10244	10831	7223
"gmt"	"GENOA METAL TERMINAL"	"container"	"teu"	170	0	4	0	0	0	0	184	21	315	138	18
"gmt"	"GENOA METAL TERMINAL"	"miscellaneous goods"	"tons"	15064	10736	26594	16749	32602	27969	14247	25317	21480	28204	24474	28139
"gmt"	"GENOA METAL TERMINAL"	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0	0	0
"gpt"	"TERMINAL REBORA"	"container"	"teu"	14174	19114	23210	18752	19974	18375	18938	16039	15071	19376	20743	18212
"gpt"	"TERMINAL REBORA"	"miscellaneous goods"	"tons"	650	1286	1759	588	1994	1645	1303	50	35	0	0	4
"gpt"	"TERMINAL REBORA"	"trucks"	"mtl"	34887	35273	40571	39575	39367	38867	36542	24839	36464	38454	38381	38889
"rinfuse"	"TERMINAL RINFUSE"	"minerals"	"tons"	52679	85912	47974	77640	51476	45462	68157	114386	70864	57218	92582	53080
"rinfuse"	"TERMINAL RINFUSE"	"steel and miscellaneous goods"	"tons"	0	0	0	3003	0	0	0	0	626	7306	5180	5169
"rinfuse"	"ROLCIM (T. Rinfuse)"	"cemento"	"tons"	2000	4440	4441	13505	3033	8169	9850	4200	7464	3000	3000	8709
"portopasseggeri"	"STAZIONI MARITTIME"	"passengers"	"num"	114444	73300	98416	177130	162641	288898	458506	588265	358019	193201	133135	126007
"portopasseggeri"	"STAZIONI MARITTIME"	"vehicles"	"num"	33155	18583	27720	39157	45544	82484	131859	177626	101791	42379	27682	33867
"portopasseggeri"	"STAZIONI MARITTIME"	"trucks"	"mtl"	120926	152302	165189	146504	177733	166313	145842	93056	138630	161432	153189	133991
"portopasseggeri"	"STAZIONI MARITTIME"	"new vehicles"	"num"	2007	2630	2182	2680	2874	2296	2223	843	1171	1370	1081	699
"forest"	"TERMINAL FOREST"	"timber"	"tons"	11332	5438	11718	11087	17740	4860	16476	11393	10496	14411	11025	14542
"forest"	"TERMINAL FOREST"	"miscellaneous goods"	"tons"	5416	0	149	98	5032	0	189	420	0	0	18	0
"frutta"	"TERMINAL FRUTTA"	"container"	"teu"	0	0	0	21	1	0	8	0	12	0	9	19
"frutta"	"TERMINAL FRUTTA"	"vegetables"	"tons"	0	0	0	0	0	0	0	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"miscellaneous goods"	"tons"	6854	9827	3358	2350	0	0	0	0	2466	0	0	2469
"frutta"	"TERMINAL FRUTTA"	"vehicles"	"num"	0	0	0	463	946	0	275	216	449	193	396	342
"frutta"	"TERMINAL FRUTTA"	"trucks"	"mtl"	0	0	0	936	1472	0	1208	1929	1622	1405	116	3499
"vte"	"V.T.E."	"container"	"teu"	92666	99151	108268	108303	104932	106047	113883	94226	90092	109861	112424	103094
