"id"	"name"	"type"	"unit"	"Jan 2015"	"Feb 2015"	"Mar 2015"
"sech"	"TERMINAL SECH"	"container"	"teu"	"41434"	"37313"	"32774"
"sech"	"TERMINAL SECH"	"miscellaneous goods"	"tons"	"27"	"35"	"86"
"sech"	"TERMINAL SECH"	"trucks"	"mtl"	"0"	"0"	"0"
"sangiorgio"	"TERMINAL SAN GIORGIO "	"container"	"teu"	"5201"	"7390"	"9411"
"sangiorgio"	"TERMINAL SAN GIORGIO"	"miscellaneous goods"	"tons"	"7732"	"6616"	"3552"
"sangiorgio"	"TERMINAL SAN GIORGIO"	"trucks/vehicles"	"mtl"	"93979"	"136676"	"146825"
"sangiorgio"	"TERMINAL SAN GIORGIO"	"vehicles "	"num"	"1687"	"5599"	"5245"
"sangiorgio"	"TERMINAL SAN GIORGIO"	"passengers"	"num"	"0"	"0"	"0"
"messina"	"TERMINAL MESSINA"	"container"	"teu"	"13322"	"18656"	"14853"
"messina"	"TERMINAL MESSINA"	"miscellaneous goods"	"tons"	"2777"	"787"	"509"
"messina"	"TERMINAL MESSINA"	"trucks"	"mtl"	"9095"	"3711"	"7505"
"gmt"	"GENOA METAL TERMINAL"	"container"	"teu"	"92"	"82"	"50"
"gmt"	"GENOA METAL TERMINAL"	"miscellaneous goods"	"tons"	"20248"	"14372"	"19749"
"gmt"	"GENOA METAL TERMINAL"	"trucks"	"mtl"	"0"	"0"	"0"
"gpt"	"TERMINAL REBORA"	"container"	"teu"	"20644"	"23836"	"27691"
"gpt"	"TERMINAL REBORA"	"miscellaneous goods"	"tons"	"74"	"119"	"0"
"gpt"	"TERMINAL REBORA"	"trucks"	"mtl"	"38911"	"39075"	"52677"
"rinfuse"	"TERMINAL RINFUSE"	"minerals"	"tons"	"73369"	"81185"	"130273"
"rinfuse"	"TERMINAL RINFUSE"	"steel and miscellaneous goods"	"tons"	"1109"	"0"	"0"
"rinfuse"	"ROLCIM (T. Rinfuse)"	"cemento"	"tons"	"3150"	"0"	"3000"
"portopasseggeri"	"STAZIONI MARITTIME"	"passengers"	"num"	"108156"	"68959"	"107971"
"portopasseggeri"	"STAZIONI MARITTIME"	"vehicles"	"num"	"28220"	"15966"	"21496"
"portopasseggeri"	"STAZIONI MARITTIME"	"trucks"	"mtl"	"153023"	"160552"	"183990"
"portopasseggeri"	"STAZIONI MARITTIME"	"new vehicles"	"num"	"1015"	"722"	"685"
"forest"	"TERMINAL FOREST"	"timber"	"tons"	"16763"	"4003"	"24300"
"forest"	"TERMINAL FOREST"	"miscellaneous goods"	"tons"	"98"	"209"	"98"
"frutta"	"TERMINAL FRUTTA"	"container"	"teu"	"0"	"0"	"0"
"frutta"	"TERMINAL FRUTTA"	"vegetables"	"tons"	"0"	"0"	"0"
"frutta"	"TERMINAL FRUTTA"	"miscellaneous goods"	"tons"	"0"	"0"	"0"
"frutta"	"TERMINAL FRUTTA"	"vehicles"	"num"	"0"	"0"	"0"
"frutta"	"TERMINAL FRUTTA"	"trucks"	"mtl"	"0"	"0"	"0"
"vte"	"V.T.E."	"container"	"teu"	"82882"	"94280"	"112289"
"vte"	"V.T.E."	"car carrier"	"tons"	"0"	"0"	"0"
"vte"	"V.T.E."	"miscellaneous goods"	"tons"	"149"	"509"	"402"
"vte"	"V.T.E."	"trucks"	"mtl"	"0"	"0"	"0"
"vte"	"V.T.E."	"vehicles"	"num"	"0"	"0"	"0"
"vte"	"V.T.E."	"passengers"	"num"	"0"	"0"	"0"
"enel"	"ENEL"	"coal"	"tons"	"0"	"0"	"0"
"enel"	"ENEL"	"olii minerali"	"tons"	"0"	"0"	"0"
"ilva"	"ILVA/A. CORNIGLIANO"	"minerali"	"tons"	"29400"	"0"	"0"
"ilva"	"ILVA/A. CORNIGLIANO"	"steel"	"tons"	"269158"	"83947"	"226259"
"portopetroli"	"PORTO PETROLI"	"oil"	"tons"	1446824	1157185	1341855
"portopetroli"	"PORTO PETROLI"	"chemicals"	"tons"	"7509"	"22181"	"13796"
"enipetrolig"	"ENI / PETROLIG"	"mineral oil"	"tons"	"16416"	"21747"	"41982"
"silomar"	"SILOMAR"	"chemicals"	"tons"	"24515"	"18787"	"15735"
"silomar"	"SILOMAR"	"mineral oil/biodegradables"	"tons"	"0"	"796"	"4286"
"silomar"	"SILOMAR"	"vegetable oil"	"tons"	"0"	"0"	"0"
"saar"	"S.A.A.R."	"vegetable oil"	"tons"	"4225"	"26344"	"10339"
"saar"	"S.A.A.R."	"chemicals"	"tons"	"8252"	"0"	"7546"
"saar"	"S.A.A.R."	"mineral/biodegradable oil"	"tons"	"0"	"7935"	"3045"
"sampolii"	"SAMPIERDARENA OLII"	"vegetable oil"	"tons"	"6745"	"9623"	"3015"
"sampolii"	"SAMPIERDARENA OLII"	"wine"	"tons"	"5450"	"6718"	"2860"
"sampolii"	"SAMPIERDARENA OLII"	"chemicals"	"tons"	"0"	"0"	"0"
"getoil"	"GETOIL"	"mineral oil"	"tons"	"2000"	"0"	"0"
