PORTS;Nations;coord;lon;lat
Aberdeen;Scotland;-2.0913745,57.1452452;-2.0913745;57.1452452
Abidjan;Ivory Coast;9.76998734,1.87000083;9.76998734;1.87000083
Abo Terminal;Nigeria;5.6840,4.7849;5.6840;4.7849
Abu Kammash;Libya;11.7363481,33.073808;11.7363481;33.073808
Alexandria;Egypt;29.8944,31.1990;29.8944;31.1990
Algeciras;Spain;-5.4278,36.1386;-5.4278;36.1386
Alger;Algeria;3.0601,36.7753;3.0601;36.7753
Altamira;Mexico;-97.9299915,22.4061839;-97.9299915;22.4061839
Ashdod;Israel;34.6601,31.8493;34.6601;31.8493
Augusta;Italy;15.2059,37.2240;15.2059;37.2240
Bandar Abbas;Iran;56.2823,27.1762;56.2823;27.1762
Baniyas;Syria;35.944906,35.1820319;35.944906;35.1820319
Barcelona;Spain;2.1889,41.3996;2.1889;41.3996
Batumi;Georgia;41.6568,41.6658;41.6568;41.6658
Beirut;Lebanon;35.47843,33.8959203;35.47843;33.8959203
Bonny;Nigeria;4.4355,7.1668;4.4355;7.1668
Bouri Terminal;Libya;13.2605,33.8476;13.2605;33.8476
Brass Terminal;Nigeria;4.3037,6.2439;4.3037;6.2439
Buenos Aires;Argentina;-58.44598,-34.61287;-58.44598;-34.61287
Busan (Pusan);South Korea;129.0176,35.0803;129.0176;35.0803
Cagliari;Italy;9.0960,39.2204;9.0960;39.2204
Cartagena;Colombia;10.4162,-75.5180;10.4162;-75.5180
Casablanca;Morocco;-5.4972579,35.893452;-5.4972579;35.893452
Catania;Italy;15.0306,37.4603;15.0306;37.4603
Caucedo;Dominican Republic;18.4355,-69.6155;18.4355;-69.6155
Ceyhan;Turkey;35.8331,37.0562;35.8331;37.0562
Chiwan;China;113.8925745,22.4823134;113.8925745;22.4823134
Colombo;Sri Lanka;79.8532704,6.934287;79.8532704;6.934287
Dakar;Senegal;-17.44703,14.69300;-17.44703;14.69300
Damietta;Egypt;31.82137,31.41674;31.82137;31.41674
Damman;Saudi  Arabia;50.1571,26.4740;50.1571;26.4740
Djibouti;Djibouti;11.5970,43.1362;11.5970;43.1362
Dumai, Sumatra;Indonesia;101.4532617,1.6815017;101.4532617;1.6815017
Durban;South Africa;39.2663959,-6.7980667;39.2663959;-6.7980667
Es Sider;Libya;30.63684,18.36565;30.63684;18.36565
Forcados;Nigeria;5.3534,5.4393;5.3534;5.4393
Fos-sur-Mer;France;4.945595,43.4380714;4.945595;43.4380714
Gela;Italy;14.25075,37.06659;14.25075;37.06659
Gemlik;Turkey;29.15707,40.43017;29.15707;40.43017
Gioia Tauro;Italy;15.9207,38.4271;15.9207;38.4271
Haifa;Israel;34.9885,32.8184;34.9885;32.8184
Hong Kong;China;114.1229,22.3434;114.1229;22.3434
Houston;United States of America;-94.9171,29.7232;-94.9171;29.7232
Istanbul;Turkey;28.9652,41.0096;28.9652;41.0096
Jakarta, Java;Indonesia;106.827143,-6.1753167;106.827143;-6.1753167
Jawaharlal Neru (Nhava Sheva);India;72.9644,18.9629;72.9644;18.9629
Jebel Ali;United Arab Emirates;55.0687,24.9959;55.0687;24.9959
Jeddah;Saudi Arabia;39.16404,21.58222;39.16404;21.58222
Kaohsiung;Taiwan;120.2893,22.6015;120.2893;22.6015
Karg Island;Iran;50.3270,29.2347;50.3270;29.2347
Khor al Fakkan;United Arab Emirates;56.3709,25.3584;56.3709;25.3584
Kingston;Jamaica;17.9829,-76.8223;17.9829;-76.8223
Koper;Slovenia;13.7304909,45.5479552;13.7304909;45.5479552
Kulevi;Georgia;42.2699,41.6578;42.2699;41.6578
La Skirra;Tunisia;10.1654431,34.3342894;10.1654431;34.3342894
La Spezia;Italy;9.8282255,44.107033;9.8282255;44.107033
Lagos;Nigeria;3.38958521,6.44520751;3.38958521;6.44520751
Las Palmas;Spain;-15.4357,28.0514;-15.4357;28.0514
Livorno;Italy;10.3073,43.5457;10.3073;43.5457
Los Angeles;United States of America;-118.2113,33.7673;-118.2113;33.7673
Malta;Malta;14.5244,35.9180;14.5244;35.9180
Marsaxlokk;Malta;14.5441482,35.8418502;14.5441482;35.8418502
Marseille;France;5.3560,43.3435;5.3560;43.3435
Massawa;Eritrea;38.698058,9.0352562;38.698058;9.0352562
Melbourne;Australia;-37.8139,144.9158;-37.8139;144.9158
Melitah;Libya;12.230272,32.863944;12.230272;32.863944
Mersin, Icel;Turkey;34.630542,36.81275;34.630542;36.81275
Milazzo;Italy;15.2734,38.2144;15.2734;38.2144
Misurata;Libya;15.0999979,32.37997316;15.0999979;32.37997316
Mombasa;Kenia;-4.0470,39.6527;-4.0470;39.6527
Mongstad;Norway;5.0395,60.8157;5.0395;60.8157
Montreal;Canada;-73.6554,45.5027;-73.6554;45.5027
Moudi Terminal;Cameroon;4.3611,8.4488;4.3611;8.4488
Napoli;Italy;14.2461,40.8529;14.2461;40.8529
New York;United States of America;-73.9796,40.6979;-73.9796;40.6979
Newark;United States of America;-74.1821,40.7310;-74.1821;40.7310
Ningbo;China;121.54988,29.87203;121.54988;29.87203
Norfolk;United States of America;-76.1960,37.0127;-76.1960;37.0127
Novorossiysk;Russia;37.7874,44.7108;37.7874;44.7108
Odessa;Ukraine;30.7296333,46.4713468;30.7296333;46.4713468
Olbia;Italy;9.5397,40.9206;9.5397;40.9206
Palermo;Italy;13.3473,38.1373;13.3473;38.1373
Piraeus;Greece;23.6486215,37.9441517;23.6486215;37.9441517
Port Everglades;United States of America;-80.1083,26.0927;-80.1083;26.0927
Port Kelang;Malaysia;101.3006,2.9410;101.3006;2.9410
Port Said;Egypt;32.3192,31.2567;32.3192;31.2567
Port Sudan;Sudan;28.0280638,-26.1680988;28.0280638;-26.1680988
