id	port	nation	quantity
1	Shanghai	China	150140
2	Singapore	Singapore	77137
3	Cagliari	Italy	65894
4	Hong Kong	China	64315
5	Ningbo	China	52800
6	Jeddah	Saudi Arabia	41861
7	Alexandria	Egypt	33478
8	New York	United States of America	33451
9	Pusan	South Korea	31634
10	Yantian Huangdong	China	28392
11	Kaohsiung	Taiwan	28182
12	Port Kelang	Malaysia	27893
13	Qingdao	China	27056
14	Jebel Ali	United Arab Emirates	26947
15	Montreal	Canada	25543
16	Shekou	China	24697
17	Tunis	Tunisia	24182
18	Tanjong Pelepas	Malaysia	23574
19	Savannah	United States of America	22470
20	Fos-sur-Mer	France	22254
21	Gioia Tauro	Italy	21477
22	Jawaharlal Neru (Nhava Sheva)	India	21288
23	Khor al Fakkan	United Arab Emirates	20351
24	Casablanca	Morocco	17867
25	Haifa	Israel	17525
26	Chiwan	China	17525
27	Alger	Algeria	16840
28	Newark	United States of America	16391
29	Santos	Brazil	15631
30	Xiamen	China	15543
31	Damietta	Egypt	14778
32	Istanbul	Turkey	14465
33	Valencia	Spain	14139
34	Port Said	Egypt	13918
35	Norfolk	United States of America	13623
36	Tripoli	Libia	13576
37	Las Palmas	Spain	13472
38	Napoli	Italy	13390
39	Veracruz	Mexico	13197
40	Barcelona	Spain	12865
41	Gemlik	Turkey	12855
42	Houston	United States of America	12683
43	Marsaxlokk	Malta	11888
44	Ashdod	Israel	11136
45	Malta	Malta	10948
46	Salalah	Oman	10839
47	Abidjan	Ivory Coast	10711
48	Los Angeles	United States of America	10289
49	Buenos Aires	Argentina	10026
50	Misurata	Libya	9926
51	Livorno	Italy	9536
52	Durban	South Africa	9533
53	Marseille	France	8853
54	Xingang	China	8677
55	Dakar	Senegal	8378
56	Massawa	Eritrea	8346
57	Port Sudan	Sudan	8204
58	Altamira	Mexico	8062
59	Rades	Tunisia	7962
60	Damman	Saudi  Arabia	7666
61	Algeciras	Spain	7642
