id	port	nation	quantity
1	Ceyhan	Turkey	3219859
2	Novorossiysk	Russia	3079588
3	Taranto	Italy	2751913
4	Cagliari	Italy	1446915
5	Porto Torres	Italy	1408533
6	Shanghai	China	1283791
7	Melitah	Libya	1249627
8	Palermo	Italy	1096626
9	Sidi Kerir Terminal	Egypt	1048097
10	Termini Imerese	Italy	1046728
11	Catania	Italy	1012912
12	Singapore	Singapore	919378
13	Tunis	Tunisia	819301
14	Zawia Terminal	Libya	772369
15	New York	United States of America	763548
16	Houston	United States of America	719216
17	Barcelona	Spain	699757
18	Malta	Malta	659665
19	Hong Kong	China	614420
20	Moudi Terminal	Cameroon	595287
21	Alexandria	Egypt	536502
22	Primorsk, Koivisto	Russia	530210
23	Livorno	Italy	465148
24	Rades	Tunisia	453370
25	Ningbo	China	452209
26	Fos-sur-Mer	France	448841
27	Batumi	Georgia	430368
28	Yuzhnyy	Ukraine	421108
29	Port Kelang	Malaysia	386417
30	Jeddah	Saudi Arabia	369802
31	Busan (Pusan)	South Korea	324969
32	Jebel Ali	United Arab Emirates	315214
33	Baniyas	Syria	297451
34	Montreal	Canada	289759
35	Olbia	Italy	286901
36	Kaohsiung	Taiwan	271863
37	Jawaharlal Neru (Nhava Sheva)	India	265354
38	Qingdao	China	260129
39	Gioia Tauro	Italy	253609
40	Savannah	United States of America	230860
41	Tanjong Pelepas	Malaysia	229200
42	Skikda	Algeria	224123
43	Khor al Fakkan	United Arab Emirates	224039
44	Marsaxlokk	Malta	222218
45	Abidjan	Ivory Coast	220835
46	Ras Lanuf	Lybia	218274
47	Shekou	China	214089
48	Gela	Italy	208550
49	Milazzo	Italy	207742
50	Santos	Brazil	206941
51	Tarragona	Spain	204613
52	Yantian Huangdong	China	193753
53	La Spezia	Italy	185696
54	Las Palmas	Spain	185274
55	Jakarta	Indonesia	184241
56	Mersin, Icel	Turkey	176848
57	Newark	United States of America	170846
58	Kulevi	Georgia	167582
59	Karg Island	Iran	165397
60	Haifa	Israel	162636
61	Augusta	Italy	162388
