id;Nome;Merce;Unit;jan-13;feb-13;mar-13;apr-13;may-13;jun-13;jul-13;aug-13;sep-13;oct-13;nov-13;dec-13
sech;TERMINAL SECH;container;teu;21.994;23.688;23.534;25.277;22.346;28.211;34.859;28.905;30.470;32.864;25.434;27.847
sech;TERMINAL SECH;merce varia;tons;130;0;103;47;0;142;13;50;99;0;0;0
sech;TERMINAL SECH;rotabili;mtl;0;0;0;0;0;0;0;0;0;0;0;0
sangiorgio;TERMINAL SAN GIORGIO ;container;teu;4.024;6.560;7.815;7.011;6.665;8.518;8.183;6.109;6.014;7.650;9.325;9.522
sangiorgio;TERMINAL SAN GIORGIO;merce varia;tons;4.335;2.665;2.404;1.299;1.909;3.050;3.127;3.199;2.588;10.383;5.759;8.827
sangiorgio;TERMINAL SAN GIORGIO;rotabili/auto;mtl;105.363;113.845;107.562;98.792;109.933;121.650;135.006;114.517;127.571;125.408;137.612;112.227
sangiorgio;TERMINAL SAN GIORGIO;di cui auto ;num;3.209;3.223;2.561;2.600;2.464;2.384;3.089;1.414;2.991;2.793;3.680;3.427
sangiorgio;TERMINAL SAN GIORGIO;passeggeri;num;0;0;0;0;0;0;0;0;0;0;0;0
messina;TERMINAL MESSINA;container;teu;17.288;11.467;19.182;17.332;15.873;16.732;15.882;12.743;16.732;14.360;13.768;14.894
messina;TERMINAL MESSINA;merce varia;tons;786;289;337;1.224;55;1.143;894;45;1.051;2.078;908;43
messina;TERMINAL MESSINA;rotabili;mtl;10.293;5.676;10.738;13.495;8.396;11.708;10.852;8.939;8.432;10.379;6.615;9.099
gmt;GENOA METAL TERMINAL;container;teu;173;57;154;75;75;40;162;22;145;294;103;60
gmt;GENOA METAL TERMINAL;merce varia;tons;13.961;30.372;21.580;14.252;39.996;10.871;17.420;18.136;39.348;20.194;22.062;13.985
gmt;GENOA METAL TERMINAL;rotabili;mtl;0;0;0;0;0;0;0;0;0;0;0;0
gpt;TERMINAL REBORA;container;teu;18.611;17.031;18.589;16.731;19.547;17.381;17.924;17.044;13.710;19.035;17.981;16.672
gpt;TERMINAL REBORA;merce varia;tons;0;0;0;89;29;0;27;19;108;40;0;15
gpt;TERMINAL REBORA;rotabili;mtl;33.790;37.903;42.263;41.386;41.146;39.414;37.292;29.892;42.079;40.896;39.693;38.345
rinfuse;TERMINAL RINFUSE;minerali;tons;42.343;48.022;92.233;97.248;52.962;56.223;16.481;104.087;79.013;131.709;28.431;75.031
