id;Nome;Merce;Unit;Jan-14;Feb-14
sech;TERMINAL SECH;container;teu;24222;33145
sech;TERMINAL SECH;merce varia;tons;52;116
sech;TERMINAL SECH;rotabili;mtl;0;0
sangiorgio;TERMINAL SAN GIORGIO ;container;teu;8213;8175
sangiorgio;TERMINAL SAN GIORGIO;merce varia;tons;6992;6978
sangiorgio;TERMINAL SAN GIORGIO;rotabili/auto;mtl;105058;116244
sangiorgio;TERMINAL SAN GIORGIO;di cui auto ;num;2545;4079
sangiorgio;TERMINAL SAN GIORGIO;passeggeri;num;0;0
messina;TERMINAL MESSINA;container;teu;15968;13051
messina;TERMINAL MESSINA;merce varia;tons;2476;937
messina;TERMINAL MESSINA;rotabili;mtl;12615;6315
gmt;GENOA METAL TERMINAL;container;teu;93;52
gmt;GENOA METAL TERMINAL;merce varia;tons;34196;20293
gmt;GENOA METAL TERMINAL;rotabili;mtl;0;0
gpt;TERMINAL REBORA;container;teu;16491;20367
gpt;TERMINAL REBORA;merce varia;tons;0;0
gpt;TERMINAL REBORA;rotabili;mtl;29931;37696
rinfuse;TERMINAL RINFUSE;minerali;tons;91551;53751
rinfuse;TERMINAL RINFUSE;siderurgico merce varia;tons;1334;2428
rinfuse;ROLCIM (T. Rinfuse);cemento;tons;3000;3000
portopasseggeri;STAZIONI MARITTIME;passeggeri;num;93434;74348
portopasseggeri;STAZIONI MARITTIME;veicoli;num;24458;17111
portopasseggeri;STAZIONI MARITTIME;rotabili;mtl;142794;144067
portopasseggeri;STAZIONI MARITTIME;auto nuove;num;1015;1704
forest;TERMINAL FOREST;forestale;tons;13590;13129
forest;TERMINAL FOREST;merce varia;tons;0;0
frutta;TERMINAL FRUTTA;container;teu;0;0
frutta;TERMINAL FRUTTA;ortofrutta;tons;0;0
frutta;TERMINAL FRUTTA;merce varia;tons;0;0
frutta;TERMINAL FRUTTA;auto;num;0;0
frutta;TERMINAL FRUTTA;rotabili;mtl;0;0
vte;V.T.E.;container;teu;92102;91219
vte;V.T.E.;Car Carrier;tons;856;0
vte;V.T.E.;merce varia;tons;159;127
vte;V.T.E.;rotabili;mtl;0;0
vte;V.T.E.;auto;num;0;0
vte;V.T.E.;passeggeri;num;0;0
enel;ENEL;carbone;tons;0;0
enel;ENEL;olii minerali;tons;1774;0
ilva;ILVA/A. CORNIGLIANO;minerali;tons;7900;7900
ilva;ILVA/A. CORNIGLIANO;siderurgico;tons;234337;258294
portopetroli;PORTO PETROLI;petroliferi;tons;1344551;1210473
portopetroli;PORTO PETROLI;chimici;tons;26466;17077
enipetrolig;ENI / PETROLIG;olii minerali;tons;10128;47190
silomar;SILOMAR;chimici;tons;15348;19208
silomar;SILOMAR;olii minerali/biodegradabili;tons;0;0
silomar;SILOMAR;olii vegetali;tons;0;0
saar;S.A.A.R.;olii vegetali;tons;9493;17058
saar;S.A.A.R.;chimici;tons;2099;6726
saar;S.A.A.R.;olii minerali/biodegradabili;tons;2298;2538
sampolii;SAMPIERDARENA OLII;olii vegetali;tons;6640;6151
sampolii;SAMPIERDARENA OLII;vino;tons;3365;6470
sampolii;SAMPIERDARENA OLII;chimici;tons;0;0
getoil;GETOIL;olii minerali;tons;0;0
